,기준_년분기_코드,상권_구분_코드,상권_구분_코드_명,상권_코드,상권_코드_명,상권_변화_지표,상권_변화_지표_명,운영_영업_개월_평균,폐업_영업_개월_평균,서울_운영_영업_개월_평균,서울_폐업_영업_개월_평균
0,20253,U,관광특구,3001496,강남 마이스 관광특구,HH,정체,125,67,113,53
1,20253,U,관광특구,3001495,잠실 관광특구,LL,다이나믹,100,52,113,53
2,20253,U,관광특구,3001494,종로?청계 관광특구,HH,정체,167,75,113,53
3,20253,U,관광특구,3001493,동대문패션타운 관광특구,HH,정체,125,63,113,53
4,20253,U,관광특구,3001492,명동 남대문 북창동 다동 무교동 관광특구,HH,정체,146,66,113,53
5,20253,U,관광특구,3001491,이태원 관광특구,LH,상권확장,105,57,113,53
6,20253,R,전통시장,3130327,"평화시장(남평화시장, 제일평화시장, 신평화패션타운)",HH,정체,129,71,113,53
7,20253,R,전통시장,3130326,고덕 골목형상점가,LL,다이나믹,88,51,113,53
8,20253,R,전통시장,3130325,명일전통시장,HH,정체,115,57,113,53
9,20253,R,전통시장,3130324,길동복조리시장,HL,상권축소,115,46,113,53
10,20253,R,전통시장,3130323,둔촌역전통시장,HL,상권축소,123,45,113,53
11,20253,R,전통시장,3130322,고분다리전통시장,HL,상권축소,144,42,113,53
12,20253,R,전통시장,3130321,장신구 특화거리 상점가,LL,다이나믹,104,49,113,53
13,20253,R,전통시장,3130320,암사종합시장,HH,정체,115,56,113,53
14,20253,R,전통시장,3130319,성내전통시장,HL,상권축소,142,43,113,53
15,20253,R,전통시장,3130318,로데오거리상점가,HL,상권축소,121,52,113,53
16,20253,R,전통시장,3130317,마천중앙시장,HH,정체,136,56,113,53
17,20253,R,전통시장,3130316,마천시장,HH,정체,136,56,113,53
18,20253,R,전통시장,3130315,문정동 로데오거리 상점가(문정동 로데오거리),HH,정체,121,55,113,53
19,20253,R,전통시장,3130314,풍납시장,HH,정체,147,54,113,53
20,20253,R,전통시장,3130313,방이시장,LL,다이나믹,105,53,113,53
21,20253,R,전통시장,3130312,석촌시장,LL,다이나믹,100,49,113,53
22,20253,R,전통시장,3130311,새마을시장,LL,다이나믹,101,52,113,53
23,20253,R,전통시장,3130310,강남개포시장,HH,정체,123,54,113,53
24,20253,R,전통시장,3130309,은마종합상점가,HH,정체,277,63,113,53
25,20253,R,전통시장,3130308,청담삼익시장,HH,정체,124,64,113,53
26,20253,R,전통시장,3130307,도곡시장,HH,정체,140,70,113,53
27,20253,R,전통시장,3130306,강남언주로,LL,다이나믹,90,40,113,53
28,20253,R,전통시장,3130305,논현종합시장,LL,다이나믹,95,49,113,53
29,20253,R,전통시장,3130304,신사상가,HH,정체,223,77,113,53
30,20253,R,전통시장,3130303,영동전통시장,LL,다이나믹,109,49,113,53
31,20253,R,전통시장,3130302,강남시장(강남구 강남시장),HL,상권축소,114,49,113,53
32,20253,R,전통시장,3130301,양재시장,HL,상권축소,169,53,113,53
33,20253,R,전통시장,3130296,남부종합시장,HL,상권축소,175,53,113,53
34,20253,R,전통시장,3130295,인헌시장(원당종합시장),HH,정체,118,54,113,53
35,20253,R,전통시장,3130294,관악중부시장,HH,정체,121,59,113,53
36,20253,R,전통시장,3130293,봉천중앙시장,HL,상권축소,145,51,113,53
37,20253,R,전통시장,3130292,봉천현대시장,HH,정체,163,57,113,53
