,기준_년분기_코드,상권_구분_코드,상권_구분_코드_명,상권_코드,상권_코드_명,집객시설_수,관공서_수,은행_수,종합병원_수,일반_병원_수,약국_수,유치원_수,초등학교_수,중학교_수,고등학교_수,대학교_수,백화점_수,슈퍼마켓_수,극장_수,숙박_시설_수,공항_수,철도_역_수,버스_터미널_수,지하철_역_수,버스_정거장_수
0,20253,U,관광특구,3001496,강남 마이스 관광특구,35,1.0,8.0,,,3.0,,,,,,1.0,,1.0,,,,,,8.0
1,20253,U,관광특구,3001495,잠실 관광특구,158,3.0,13.0,,,14.0,,1.0,,,,,,1.0,,,,,3.0,20.0
2,20253,U,관광특구,3001494,종로?청계 관광특구,246,5.0,17.0,,,32.0,,,,,,,5.0,2.0,15.0,,,,3.0,28.0
3,20253,U,관광특구,3001493,동대문패션타운 관광특구,144,3.0,12.0,1.0,1.0,15.0,,1.0,1.0,3.0,,,3.0,2.0,1.0,,,,5.0,17.0
4,20253,U,관광특구,3001492,명동 남대문 북창동 다동 무교동 관광특구,594,14.0,57.0,,,43.0,,,,,1.0,1.0,2.0,5.0,9.0,,,,3.0,44.0
5,20253,U,관광특구,3001491,이태원 관광특구,66,5.0,6.0,,,2.0,,,,,,,3.0,,,,,,1.0,14.0
6,20253,R,전통시장,3130327,"평화시장(남평화시장, 제일평화시장, 신평화패션타운)",10,,2.0,,,2.0,,,,,,,3.0,,,,,,,
7,20253,R,전통시장,3130326,고덕 골목형상점가,12,,,,,5.0,,,,,,,,,,,,,,1.0
8,20253,R,전통시장,3130325,명일전통시장,2,,,,,,,,,,,,,,,,,,,
9,20253,R,전통시장,3130324,길동복조리시장,5,,,,,1.0,1.0,,,,,,,,,,,,,
10,20253,R,전통시장,3130323,둔촌역전통시장,6,,,,,,,,,,,,,,,,,,,
11,20253,R,전통시장,3130322,고분다리전통시장,5,,,,,1.0,,,,,,,,,,,,,,1.0
12,20253,R,전통시장,3130321,장신구 특화거리 상점가,7,1.0,,,,1.0,,,,,,,,,,,,,,1.0
13,20253,R,전통시장,3130320,암사종합시장,12,,,,,2.0,,,,,,,,,,,,,,1.0
14,20253,R,전통시장,3130319,성내전통시장,6,,,,,1.0,,,,,,,,,,,,,,
15,20253,R,전통시장,3130318,로데오거리상점가,37,1.0,1.0,,,4.0,,,,,,,,,,,,,,4.0
16,20253,R,전통시장,3130317,마천중앙시장,9,,,,,2.0,,,,,,,,,,,,,,
17,20253,R,전통시장,3130316,마천시장,1,,,,,,,,,,,,,,,,,,,
18,20253,R,전통시장,3130315,문정동 로데오거리 상점가(문정동 로데오거리),16,2.0,,,,4.0,,,,,,,,,,,,,,2.0
19,20253,R,전통시장,3130314,풍납시장,24,1.0,,,,4.0,,,,,,,,,,,,,,1.0
20,20253,R,전통시장,3130313,방이시장,41,,1.0,,,6.0,,,,,,,,,,,,,1.0,2.0
21,20253,R,전통시장,3130312,석촌시장,9,,,,,2.0,,,,,,,,,,,,,,1.0
22,20253,R,전통시장,3130311,새마을시장,19,,2.0,,,2.0,,,,,,,,,,,,,,1.0
23,20253,R,전통시장,3130310,강남개포시장,30,,3.0,,,4.0,,,,,,,,,,,,,,4.0
24,20253,R,전통시장,3130309,은마종합상점가,18,1.0,2.0,,,,,,,,,,,,,,,,1.0,1.0
25,20253,R,전통시장,3130308,청담삼익시장,3,1.0,,,,1.0,,,,,,,,,,,,,,
26,20253,R,전통시장,3130307,도곡시장,3,,,,,,,,,,,,,,,,,,,
27,20253,R,전통시장,3130306,강남언주로,4,,,,,,,,,,,,,,,,,,,1.0
28,20253,R,전통시장,3130304,신사상가,3,,,,,1.0,,,,,,,1.0,,,,,,,
29,20253,R,전통시장,3130303,영동전통시장,5,,,,,2.0,,,,,,,,,,,,,,
30,20253,R,전통시장,3130301,양재시장,3,,,,,1.0,,,,,,,,,,,,,,
31,20253,R,전통시장,3130296,남부종합시장,1,,,,,,,,,,,,1.0,,,,,,,
32,20253,R,전통시장,3130295,인헌시장(원당종합시장),20,1.0,,,,6.0,1.0,,,,,,1.0,,,,,,,2.0
33,20253,R,전통시장,3130294,관악중부시장,12,,2.0,,,1.0,,,,,,,,,,,,,,3.0
34,20253,R,전통시장,3130293,봉천중앙시장,2,,,,,,,,,,,,,,,,,,,
35,20253,R,전통시장,3130290,영림시장,30,1.0,1.0,,,6.0,,,,,,,1.0,,,,,,1.0,1.0
36,20253,R,전통시장,3130289,봉일시장,3,,,,,,,,,,,,,,,,,,,2.0
37,20253,R,전통시장,3130288,신림현대종합상가,1,,,,,,,,,,,,,,,,,,,
38,20253,R,전통시장,3130287,삼성동 시장(삼성동시장),4,,,,,2.0,,,,,,,,,2.0,,,,,
39,20253,R,전통시장,3130286,신신림시장(삼성동시장),1,,,,,1.0,,,,,,,,,,,,,,
40,20253,R,전통시장,3130285,서원동상점가,31,1.0,,,,2.0,,,,,,,,,,,,,,11.0
41,20253,R,전통시장,3130284,관악종합시장(신원시장),4,,,,,1.0,,,,,,,,,,,,,,1.0
42,20253,R,전통시장,3130283,신원시장,5,,,,,1.0,,,,,,,,,,,,,,
43,20253,R,전통시장,3130282,난곡 골목형상점가,2,,,,,,,,,,,,,,,,,,,
44,20253,R,전통시장,3130281,우림시장,4,,,,,1.0,,,,,,,1.0,,,,,,,2.0
45,20253,R,전통시장,3130280,신림종합시장,1,,,,,,,,,,,,1.0,,,,,,,
46,20253,R,전통시장,3130279,관악신사시장,15,1.0,1.0,,,3.0,,,,,,,,,,,,,,1.0
47,20253,R,전통시장,3130278,미성동 도깨비시장 골목형상점가,12,,,,1.0,4.0,,,,,,,,,,,,,,2.0
48,20253,R,전통시장,3130277,조원동 펭귄시장(신림중앙시장),3,,,,,,,,,,,,,,,,,,,
49,20253,R,전통시장,3130276,신림중앙시장(조원동 펭귄시장),2,,,,,,,,,,,,1.0,,,,,,,1.0
50,20253,R,전통시장,3130274,사당1동먹자골목상점가(사당1동먹자골목),16,,2.0,,,1.0,,,,,,,,,,,,,,3.0
51,20253,R,전통시장,3130273,남성사계시장(남성시장),35,,1.0,,,5.0,,,,,,,,,2.0,,,,,2.0
52,20253,R,전통시장,3130272,사당시장,5,,,,,1.0,,,,,,,1.0,,,,,,,1.0
53,20253,R,전통시장,3130271,남성역골목시장,28,,1.0,,,4.0,,,,,,,,,,,,,,3.0
54,20253,R,전통시장,3130268,상도전통시장,20,1.0,,,,3.0,,,,,,,,,,,,,,3.0
55,20253,R,전통시장,3130267,본동인정시장(기능상실),7,1.0,,,,1.0,,,,,,,,,,,,,,3.0
56,20253,R,전통시장,3130266,만양로상점가,1,,,,,1.0,,,,,,,,,,,,,,
57,20253,R,전통시장,3130265,노량진중앙시장,4,,,,,1.0,,,,,,,,,,,,,,1.0
58,20253,R,전통시장,3130264,상도약수골목형상점가,4,,,,,1.0,,,,,,,,,,,,,,
59,20253,R,전통시장,3130263,신노량진시장(기능상실),3,,,,,1.0,,,,,,,,,,,,,,1.0
60,20253,R,전통시장,3130262,상도도깨비 골목형상점가,6,,,,,1.0,,,,,,,,,,,,,,2.0
61,20253,R,전통시장,3130261,성대전통시장(성대시장),30,1.0,2.0,,,5.0,,,,,,,1.0,,,,,,,5.0
62,20253,R,전통시장,3130260,신대방1동골목상권,6,,,,,3.0,1.0,,,,,,,,,,,,,
63,20253,R,전통시장,3130259,대신시장,2,,1.0,,,,,,,,,,,,,,,,,
64,20253,R,전통시장,3130258,영진시장A동,3,,,,,,,,,,,,,,,,,,,1.0
65,20253,R,전통시장,3130257,영등포시장기계공구상가,2,,,,,,,,,,,,,,,,,,,1.0
66,20253,R,전통시장,3130256,신동시장,1,,,,,,,,,,,,,,,,,,,
67,20253,R,전통시장,3130255,영등포전통시장,9,,,,,1.0,,,,,,,,,5.0,,,,,
68,20253,R,전통시장,3130253,영신상가(제일상가),1,,,,,,,,,,,,,,,,,,,1.0
69,20253,R,전통시장,3130248,영등포역지하도상점가,11,1.0,,,,2.0,,,,,,,,1.0,,,,,1.0,1.0
70,20253,R,전통시장,3130246,영등포청과시장(조광시장),13,,,,,2.0,,,,,,,,,4.0,,,,,1.0
71,20253,R,전통시장,3130245,영일시장,5,,,,,,,,,,,,,,,,,,,2.0
72,20253,R,전통시장,3130244,대림중앙시장,2,,,,,1.0,,,,,,,,,,,,,,
73,20253,R,전통시장,3130242,대림중앙 골목형상점가,6,,,,,3.0,,,,,,,,,,,,,,
74,20253,R,전통시장,3130241,선유도역 골목형상점가,16,2.0,1.0,,,2.0,,,,,,,,,,,,,,1.0
75,20253,R,전통시장,3130240,영등포유통상가,4,,1.0,,,,,,,,,,,,,,,,,
76,20253,R,전통시장,3130238,은행나무시장,14,,,,,4.0,,,,,,,,,,,,,,3.0
77,20253,R,전통시장,3130237,박미시장(기능상실),1,1.0,,,,,,,,,,,,,,,,,,
78,20253,R,전통시장,3130236,비단길현대시장(현대시장),29,,1.0,,,5.0,,,,,,,,,,,,,,3.0
79,20253,R,전통시장,3130235,대명여울빛거리시장(대명시장),36,1.0,3.0,,1.0,8.0,,,,,,,,,,,,,,3.0
80,20253,R,전통시장,3130234,푸른터시장(기능상실),1,,,,,,,,,,,,1.0,,,,,,,
81,20253,R,전통시장,3130233,남문시장,3,,,,,1.0,,,,,,,,,,,,,,
82,20253,R,전통시장,3130232,독산동 맛나는거리상점가(독산동 맛나는거리),1,,,,,1.0,,,,,,,,,,,,,,
83,20253,R,전통시장,3130231,독산동 우시장,4,,,,,1.0,,,,,,,,,,,,,,1.0
84,20253,R,전통시장,3130230,가리봉시장,4,,,,,1.0,,,,,,,,,1.0,,,,,
85,20253,R,전통시장,3130229,남구로시장,27,3.0,,,,2.0,,,,,,,,,5.0,,,,,1.0
86,20253,R,전통시장,3130227,고척골목시장상점가(그라운드 고척),11,,,,,2.0,,,,,,,,,,,,,,3.0
87,20253,R,전통시장,3130226,고척프라자,5,,,,,,,,,,,,,,,,,,,
88,20253,R,전통시장,3130225,개봉중앙시장,26,1.0,2.0,,,5.0,,,,,,,1.0,,,,,,,4.0
89,20253,R,전통시장,3130223,고척근린시장,18,1.0,,,,5.0,,,,,,,,,,,,,,2.0
90,20253,R,전통시장,3130222,오류시장,12,,,,,2.0,,,,,,,,,,,,,,
91,20253,R,전통시장,3130221,"남부골목시장(남부화곡시장, 남부시장)",36,1.0,1.0,,,7.0,1.0,,,,,,,,,,,,,4.0
92,20253,R,전통시장,3130220,등마루시장,4,,,,,,,,,,,,,,,,,,,
93,20253,R,전통시장,3130219,까치산시장,25,,2.0,,,5.0,,,,,,,,,,,,,1.0,3.0
94,20253,R,전통시장,3130217,화곡본동시장,9,,,,,4.0,,,,,,,,,,,,,,3.0
95,20253,R,전통시장,3130216,화곡중앙시장,17,,1.0,,,6.0,,,,,,,,,,,,,,1.0
96,20253,R,전통시장,3130214,송화벽화시장(송화골목시장),29,,1.0,,,5.0,,,,,,,,,,,,,,2.0
97,20253,R,전통시장,3130213,방신전통시장,3,,,,,1.0,,,,,,,,,,,,,,
98,20253,R,전통시장,3130212,공항시장,6,1.0,,,,,,,,,,,2.0,,,,,,,1.0
99,20253,R,전통시장,3130210,목2동시장,26,1.0,1.0,,1.0,6.0,,,,,,,,,1.0,,,,,
100,20253,R,전통시장,3130209,목사랑시장(목4동시장),4,,,,,,,,,,,,,,,,,,,
101,20253,R,전통시장,3130208,목동깨비시장(목3동시장),28,,1.0,,,6.0,,,,,,,,,,,,,,1.0
102,20253,R,전통시장,3130207,신정1동 골목시장(신정제일시장),6,,,,,1.0,,,,,,,,,,,,,,1.0
103,20253,R,전통시장,3130206,신정3동 골목시장,5,,,,,1.0,,,,,,,,,,,,,,
104,20253,R,전통시장,3130205,신곡종합시장(신월6동 골목시장),15,,1.0,,1.0,4.0,,,,,,,,,,,,,,2.0
105,20253,R,전통시장,3130204,경창시장,12,,,,,5.0,,,,,,,,,,,,,,
106,20253,R,전통시장,3130203,서서울 골목형상점가,9,,1.0,,,3.0,,,,,,,,,,,,,,1.0
107,20253,R,전통시장,3130202,신영시장,7,,,,,2.0,,,,,,,,,,,,,,
108,20253,R,전통시장,3130200,"신월7동 골목시장(약수시장, 우성상가)",5,,,,,2.0,,,,,,,,,,,,,,
109,20253,R,전통시장,3130199,신월3동 골목시장,4,,,,,1.0,,,,,,,,,,,,,,
110,20253,R,전통시장,3130198,아현시장,8,,,,,1.0,,,,,,,,,,,,,,
111,20253,R,전통시장,3130197,마포시장,2,,,,,1.0,,,,,,,1.0,,,,,,,
112,20253,R,전통시장,3130196,공덕시장,10,,,,,1.0,,,,,,,1.0,,,,,,,1.0
113,20253,R,전통시장,3130195,도화동 상점가,42,2.0,,,,5.0,,,,,,,,,1.0,,,,,8.0
114,20253,R,전통시장,3130194,용강동 상점가,7,,1.0,,,,,,,,,,,,,,,,,4.0
115,20253,R,전통시장,3130193,신수시장,4,,,,,1.0,,,,,,,,,,,,,,1.0
116,20253,R,전통시장,3130192,동진시장,1,,,,,1.0,,,,,,,,,,,,,,
117,20253,R,전통시장,3130191,홍대 걷고싶은 거리,3,,,,,,,,,,,,,,,,,,,2.0
118,20253,R,전통시장,3130190,홍대소상공인상점가,2,1.0,,,,1.0,,,,,,,,,,,,,,
119,20253,R,전통시장,3130186,망원시장,14,1.0,,,,1.0,,,,,,,,,,,,,,2.0
120,20253,R,전통시장,3130185,망원월드컵시장,13,,,,,3.0,,,,,,,,,,,,,,4.0
121,20253,R,전통시장,3130184,마포농수산물시장,3,,,,,,,,,,,,1.0,,,,,,,2.0
122,20253,R,전통시장,3130183,상암동상점가,12,2.0,,,,,,,,,,,,,,,,,,2.0
123,20253,R,전통시장,3130182,영천시장,30,,1.0,,,3.0,,,,,,,,,,,,,,10.0
124,20253,R,전통시장,3130181,아현가구거리상점가,12,,,,1.0,1.0,,,,,,,,,,,,,,4.0
125,20253,R,전통시장,3130180,포방터시장,7,,,,,2.0,,,,,,,,,,,,,,1.0
126,20253,R,전통시장,3130179,"이화여대 3,5,7길 상점가",3,,,,,,,,,,,,,,,,,,,
127,20253,R,전통시장,3130177,인왕시장(홍제골목형상점가),15,,1.0,,,3.0,,,,,,,4.0,,3.0,,,,,2.0
128,20253,R,전통시장,3130176,유진상가,3,,,,,,,,,,,,,,,,,,,2.0
129,20253,R,전통시장,3130175,신촌 상인회(신촌상점가),5,,,,,,,,,,,,,,,,,,,2.0
130,20253,R,전통시장,3130174,연희사러가,2,,,,,1.0,,,,,,,,,,,,,,
131,20253,R,전통시장,3130172,모래내시장(서중시장),14,,,,,4.0,,,,,,,1.0,,1.0,,,,,1.0
132,20253,R,전통시장,3130171,불광먹자골목 골목형상점가,30,,2.0,,1.0,6.0,,,,,,,,,,,,,2.0,3.0
133,20253,R,전통시장,3130170,제일시장,23,,1.0,,,2.0,,,,,,,,1.0,,,,,,3.0
134,20253,R,전통시장,3130169,대조시장,21,1.0,,,,4.0,,,,,,,,,,,,,,3.0
135,20253,R,전통시장,3130168,연서시장,24,,1.0,,,1.0,,,,,,,1.0,,,,,,,6.0
136,20253,R,전통시장,3130167,연신내상점가(연빛거리),40,,1.0,1.0,,7.0,,,,,,,,,,,,,,8.0
137,20253,R,전통시장,3130166,응암시장(신응암시장),4,,,,,2.0,,,,,,,,,,,,,,1.0
138,20253,R,전통시장,3130165,"대림골목시장(대림시장, 양지시장)",9,,,,1.0,2.0,,,,,,,2.0,,,,,,,
139,20253,R,전통시장,3130163,응암오거리상점가,15,,1.0,,,3.0,,,,,,,,,,,,,,3.0
140,20253,R,전통시장,3130162,증산골목시장,2,,,,,1.0,,,,,,,,,,,,,,1.0
141,20253,R,전통시장,3130161,증산종합시장,2,,,,,,,,,,,,1.0,,,,,,,
142,20253,R,전통시장,3130160,수일시장,4,,,,,1.0,,,,,,,,,,,,,,
143,20253,R,전통시장,3130159,공릉동 도깨비시장,12,1.0,1.0,,,1.0,,,,,,,,,,,,,,1.0
144,20253,R,전통시장,3130158,상계역전종합상가,4,,,,,,,,,,,,,,,,,,,1.0
145,20253,R,전통시장,3130157,상계중앙시장,19,1.0,1.0,,,3.0,,,,,,,,,1.0,,,,,2.0
146,20253,R,전통시장,3130156,시영2단지 무지개종합상가(중계 무지개2단지아파트상가),9,,,,,1.0,,,,,,,,,,,,,,2.0
147,20253,R,전통시장,3130155,시영B상가(중계 그린아파트 B 상가),4,,,,,1.0,,,,,,,,,,,,,,
148,20253,R,전통시장,3130154,상계주공1단지(가)상가,2,1.0,,,,1.0,,,,,,,,,,,,,,
149,20253,R,전통시장,3130153,창동역상점가,14,,,,,2.0,,,,,,,,,,,,,,5.0
150,20253,R,전통시장,3130152,오!도봉거리 상점가,7,,,,,1.0,,,,,,,,,,,,,,2.0
151,20253,R,전통시장,3130151,신도봉시장,1,,,,,,,,,,,,1.0,,,,,,,
152,20253,R,전통시장,3130150,창동골목시장,17,,,,,2.0,,,,,,,,,,,,,,6.0
153,20253,R,전통시장,3130149,창동신창시장,14,1.0,,,,4.0,,,,,,,,,,,,,,2.0
154,20253,R,전통시장,3130148,방학동도깨비시장,11,,,,,3.0,,,,,,,,,,,,,,3.0
155,20253,R,전통시장,3130147,쌍문역동측상점가,11,,1.0,,,1.0,,,,,,,,,,,,,,3.0
156,20253,R,전통시장,3130146,쌍문시장(쌍문역골목시장),39,,3.0,,,8.0,,,,,,,,,1.0,,,,1.0,3.0
157,20253,R,전통시장,3130145,쌍문역둘리상점가,4,1.0,,,,,,,,,,,,,,,,,,1.0
158,20253,R,전통시장,3130144,백운시장,4,,,,,1.0,,,,,,,,,,,,,,2.0
159,20253,R,전통시장,3130143,방천골목시장,6,,,,,1.0,,,,,,,,,,,,,,
160,20253,R,전통시장,3130141,강북북부골목시장,3,,,,,1.0,,,,,,,,,,,,,,2.0
161,20253,R,전통시장,3130140,숭인시장,24,1.0,1.0,,,3.0,,,,,,,2.0,,,,,,1.0,1.0
