기준_년분기_코드,상권_구분_코드,상권_구분_코드_명,상권배후지_코드,상권배후지_코드_명,총_직장_인구_수,총_상주인구_수,총_유동인구_수,순수_유동인구_수,상권배후지_유형
20253,A,골목상권,3111090,강일동주민센터,143,4677,548169,543349,주거지/동네형
20253,A,골목상권,3111089,상일여고(상일초등학교),1291,14226,1483855,1468338,주거지/동네형
20253,A,골목상권,3111088,고덕동성당,828,10602,980971,969541,주거지/동네형
20253,A,골목상권,3111087,고덕중학교(고덕2동주민센터),348,6577,836558,829633,주거지/동네형
20253,A,골목상권,3111086,한영중고,523,8239,726995,718233,주거지/동네형
20253,A,골목상권,3111085,묘곡초등학교(고덕아이파크아파트),845,14338,1502465,1487282,주거지/동네형
20253,A,골목상권,3111084,길동신동아아파트,731,8631,3694704,3685342,발달/번화가형 (순수 유동인구 중심)
20253,A,골목상권,3111083,GS강동자이아파트,2061,19729,6190541,6168751,발달/번화가형 (순수 유동인구 중심)
20253,A,골목상권,3111082,중앙보훈병원,327,7312,1489925,1482286,주거지/동네형
20253,A,골목상권,3111081,둔촌푸르지오아파트,1370,9804,2124033,2112859,오피스/직장형
20253,A,골목상권,3111080,굽은다리역 3번,3164,16771,3636502,3616567,주거지/동네형
20253,A,골목상권,3111079,둔촌고등학교(둔촌중학교),994,15869,3697398,3680535,주거지/동네형
20253,A,골목상권,3111078,굽은다리역 4번,4815,27359,11619543,11587369,발달/번화가형 (순수 유동인구 중심)
20253,A,골목상권,3111077,길동주민센터(강동도서관),7801,32910,14435131,14394420,발달/번화가형 (순수 유동인구 중심)
20253,A,골목상권,3111076,둔촌2동주민센터,2912,13375,3612797,3596510,오피스/직장형
20253,A,골목상권,3111075,굽은다리역 2번,2944,17826,5832049,5811279,발달/번화가형 (순수 유동인구 중심)
20253,A,골목상권,3111074,명일역 1번,1798,17399,4273331,4254134,주거지/동네형
20253,A,골목상권,3111073,둔촌동역 1번(한산중학교),4066,19211,6697060,6673783,발달/번화가형 (순수 유동인구 중심)
