,상세영업상태명,도로명전체주소,사업장명,문화체육업종명,좌표정보x(epsg5174),좌표정보y(epsg5174),지역구분명,지상층수,지하층수,객실수,주변환경명,건물용도명,시설면적,관광숙박업상세명
0,휴업,서울특별시 서초구 바우뫼로12길 70 (양재동),더케이호텔앤리조트(주) 더케이호텔서울,관광숙박업,202833.261653939,440511.561175378,자연녹지지역,11.0,1.0,250.0,주택가주변,호텔,52135.75,관광호텔업
1,휴업,서울특별시 구로구 디지털로19길 6-14 (가리봉동),스토리호스텔,관광숙박업,190265.51915022,442043.305262935,준공업지역,9.0,1.0,29.0,기타,숙박시설,755.34,호스텔업
2,휴업,서울특별시 강북구 도봉로 16 (미아동),호텔 빅토리아,관광숙박업,202651.538047427,456473.886142136,상업지역,0.0,0.0,0.0,유흥업소밀집지역,환경위생시설,0.0,관광호텔업
3,휴업,서울특별시 강북구 4.19로 135 (수유동),호텔더숲아카데미하우스,관광숙박업,200020.571943402,459790.386206253,,0.0,0.0,0.0,,,0.0,관광호텔업
4,휴업,서울특별시 강북구 덕릉로 111 (번동),쏠라리움씨티,관광숙박업,202232.199646001,459201.468505083,,0.0,0.0,0.0,,,0.0,호스텔업
5,휴업,서울특별시 광진구 구의강변로 38 (구의동),동서울 관광호텔,관광숙박업,208051.884671132,447994.805558304,준주거지역,10.0,4.0,98.0,기타,,7908.4,관광호텔업
6,휴업,"서울특별시 강남구 논현로 647 (논현동, 힐탑관광호텔)",힐탑관광호텔,관광숙박업,202673.67026853,445483.986504694,,5.0,2.0,0.0,,호텔,5789.85,관광호텔업
7,휴업,"서울특별시 종로구 종로 69 (종로2가, YMCA)",서울YMCA관광호텔,관광숙박업,198630.79627088,452035.412646906,,8.0,1.0,30.0,,호텔,892.86,관광호텔업
8,휴업,서울특별시 영등포구 버드나루로 23  (영등포동2가),라스베가스 관광호텔,관광숙박업,192165.93453037,446508.000792709,,0.0,0.0,0.0,,,0.0,
9,휴업,서울특별시 중구 동호로 287 (장충동2가),앰배서더 서울 풀만 호텔,관광숙박업,200141.998469463,450878.102981055,,0.0,0.0,318.0,,,32899.26,관광호텔업
10,폐업,"서울특별시 중구 장충단로13길 20  (을지로6가,케레스타 빌딩 18층~20층)",이스트게이트 타워호텔,관광숙박업,200613.510297669,451817.515366883,일반상업지역,0.0,0.0,0.0,기타,,5996.79,
11,폐업,서울특별시 중구 동호로 360 (을지로5가),호텔아카시아,관광숙박업,200170.834204583,451577.602493325,상업지역,12.0,3.0,134.0,기타,숙박시설,8839.81,관광호텔업
12,폐업,서울특별시 서초구 사평대로 160 (반포동),쉐라톤 서울 팔래스 강남 호텔,관광숙박업,200061.052344598,444287.834671099,일반주거지역,13.0,2.0,341.0,아파트지역,호텔,31162.04,관광호텔업
13,폐업,서울특별시 서초구 효령로55길 39 (서초동),센트로관광호텔,관광숙박업,201170.070004848,442708.003635745,근린상업지역,8.0,2.0,94.0,기타,근린생활시설,8285.57,관광호텔업
14,폐업,서울특별시 서초구 반포대로18길 62 (서초동),호텔 라리아,관광숙박업,201144.337579839,442788.083376457,일반상업지역,15.0,2.0,81.0,,,0.0,관광호텔업
15,폐업,"서울특별시 서초구 효령로 345, 프랜드호텔 (서초동)",주식회사 프렌드호텔,관광숙박업,201846.586838152,442752.888685325,일반상업지역,5.0,2.0,59.0,유흥업소밀집지역,근린생활시설,3713.77,관광호텔업
16,폐업,서울특별시 중구 소공로6길 38 (남산동2가),케이 스테이 2,관광숙박업,198614.550199488,450677.047277743,일반주거지역,4.0,1.0,20.0,,,420.88,호스텔업
17,폐업,서울특별시 중랑구 망우로50길 22 (상봉동),더홀릭 관광호텔,관광숙박업,207778.811774353,454861.510993306,일반상업지역,5.0,1.0,0.0,,숙박시설,0.0,
18,폐업,"서울특별시 마포구 희우정로 90, 샤이닝글로리하우스 (망원동)",샤이닝 글로리 하우스,관광숙박업,191352.474870905,450172.065593512,일반주거지역,7.0,1.0,69.0,기타,호텔,3828.39,관광호텔업
19,폐업,서울특별시 마포구 월드컵북로 120 (성산동),더 엠 호텔,관광숙박업,192282.955607289,451304.996932629,일반주거지역,10.0,2.0,56.0,기타,호텔,3043.28,가족호텔업
20,폐업,서울특별시 마포구 양화로 112 (서교동),메리골드호텔,관광숙박업,192839.116937246,450119.061832193,일반상업지역,10.0,4.0,186.0,,호텔,14252.1,관광호텔업
21,폐업,서울특별시 마포구 희우정로16길 31 (망원동),Alveolus(앨비어러스),관광숙박업,191415.339342271,450275.024623503,일반주거지역,1.0,1.0,1.0,,기타,72.56,호스텔업
22,폐업,서울특별시 마포구 동교로 142-13 (서교동),NEO SEOUL,관광숙박업,192696.777446115,450265.462973201,일반주거지역,3.0,1.0,18.0,,숙박시설,654.2,호스텔업
23,폐업,서울특별시 마포구 서강로 19 (신정동),케이호스텔,관광숙박업,193739.315165771,449217.82970806,일반주거지역,12.0,2.0,27.0,,숙박시설,976.4,호스텔업
24,폐업,,서서울관광호텔,관광숙박업,,,,0.0,0.0,0.0,,,0.0,
25,폐업,"서울특별시 마포구 잔다리로 67 (서교동, 유양관광호텔)",호텔야자,관광숙박업,192584.698023412,450151.420026822,일반주거지역,5.0,1.0,42.0,,호텔,1504.56,관광호텔업
26,폐업,서울특별시 마포구 양화로 130 (서교동),(주)아주호텔서교,관광숙박업,192971.947727746,450243.232547428,,0.0,0.0,135.0,,,0.0,관광호텔업
27,폐업,서울특별시 마포구 서강로 137 (노고산동),까사빌 신촌 서울,관광숙박업,194237.345664459,450263.50766141,상업지역,14.0,0.0,183.0,,숙박시설,4123.05,가족호텔업
28,폐업,서울특별시 강서구 공항대로 63 (공항동),에어포트관광호텔,관광숙박업,183529.005183547,451027.590421816,준주거지역,5.0,1.0,0.0,기타,호텔,3046.33,관광호텔업
29,폐업,서울특별시 강서구 공항대로 653-30 (염창동),리버파크관광호텔,관광숙박업,189172.250232972,449594.160970902,,9.0,3.0,0.0,,,5885.74,관광호텔업
30,폐업,서울특별시 강서구 화곡로 354-3 (화곡동),호텔 노스탈자,관광숙박업,186908.920793249,450297.393074396,,7.0,2.0,0.0,,,4619.39,
31,폐업,서울특별시 강서구 화곡로 254  (화곡동),티파니관광호텔,관광숙박업,186352.550070658,449495.06576488,,0.0,0.0,0.0,,,0.0,
32,폐업,서울특별시 강서구 화곡로 342 (화곡동),뉴리젠트호텔,관광숙박업,186834.234500517,450221.185293857,,0.0,0.0,0.0,,,0.0,
33,폐업,서울특별시 강서구 공항대로 516  (등촌동),그린월드관광호텔,관광숙박업,187851.415781065,449900.510297141,,8.0,3.0,0.0,,,3470.94,
34,폐업,서울특별시 강서구 화곡로 342  (화곡동),뉴리젠트호텔,관광숙박업,186834.234500517,450221.185293857,,0.0,0.0,0.0,,,0.0,
35,폐업,서울특별시 강서구 남부순환로 188 (외발산동),넘버25호텔 김포공항점,관광숙박업,183993.393147385,449605.865701793,,6.0,2.0,50.0,,,3196.41,관광호텔업
36,폐업,서울특별시 노원구 노해로75길 20-17 (상계동),세피아관광호텔,관광숙박업,205067.291313483,461397.873903225,일반상업지역,8.0,1.0,49.0,유흥업소밀집지역,숙박시설,2081.15,관광호텔업
