,노드링크 유형,노드 WKT,노드 ID,노드 유형 코드,링크 WKT,링크 ID,링크 유형 코드,시작노드 ID,종료노드 ID,링크 길이,시군구코드,시군구명,읍면동코드,읍면동명,지하철역코드,지하철역명,리프트,엘리베이터
0,NODE,POINT(126.97410401290497 37.57577297983848),211626,0.0,,0,,,,,1111000000,종로구,1111010700,적선동,271,경복궁(정부서울청사),0,0
1,NODE,POINT(126.99164572166939 37.57229635958097),211624,0.0,,0,,,,,1111000000,종로구,1111015100,묘동,265,종로3가,0,0
2,LINK,,0,,"LINESTRING(126.98476829617726 37.57619804536121,126.98508166500837 37.57634230704296)",216267,1000.0,211688.0,211640.0,31.979,1111000000,종로구,1111013400,경운동,269,안국,0,0
3,LINK,,0,,"LINESTRING(126.98629502432829 37.577054105256536,126.98612546537694 37.577128985009004)",181798,1000.0,211629.0,211278.0,17.129,1111000000,종로구,1111014700,재동,269,안국,0,0
4,LINK,,0,,"LINESTRING(126.98626240736726 37.57672782953704,126.986030714015 37.57664978079645,126.98608418079209 37.57652651813186)",198922,1000.0,211633.0,211276.0,36.697,1111000000,종로구,1111013400,경운동,269,안국,0,0
5,LINK,,0,,"LINESTRING(126.98626240736726 37.57672782953704,126.98641983919927 37.57678695498737,126.9864494278781 37.57669076514856)",159368,1000.0,211633.0,211270.0,26.369,1111000000,종로구,1111013400,경운동,269,안국,0,0
6,LINK,,0,,"LINESTRING(126.98423960679328 37.575836239640736,126.9848425820982 37.576094026179014,126.98476829617726 37.57619804536121)",147289,1000.0,211634.0,211688.0,73.742,1111000000,종로구,1111013400,경운동,269,안국,0,0
7,LINK,,0,,"LINESTRING(126.9844355862731 37.576214551990894,126.98467915221804 37.57632570546306,126.98476829617726 37.57619804536121)",103077,1000.0,211622.0,211688.0,41.011,1111000000,종로구,1111013400,경운동,269,안국,0,0
8,LINK,,0,,"LINESTRING(126.98629502432829 37.577054105256536,126.98635611229932 37.577084297916265)",97293,1000.0,211629.0,134209.0,6.352,1111000000,종로구,1111014700,재동,269,안국,0,0
9,NODE,POINT(126.98273312421301 37.570237390467035),212790,0.0,,0,,,,,1111000000,종로구,1111012600,종로1가,273,종각,0,0
10,LINK,,0,,"LINESTRING(126.98532523047425 37.57646291633778,126.98617029383247 37.57686021898668)",92528,1000.0,211638.0,211602.0,86.7,1111000000,종로구,1111014700,재동,269,안국,0,0
11,NODE,POINT(126.99975600586143 37.57101308730561),211768,1.0,,0,,,,,1111000000,종로구,1111016100,종로4가,266,종로5가,0,0
12,NODE,POINT(127.01602335654462 37.57300793512578),159707,1.0,,0,,,,,1111000000,종로구,1111017500,숭인동,268,동묘앞,1,0
13,NODE,POINT(127.00912056425383 37.57080809287864),211777,0.0,,0,,,,,1111000000,종로구,1111016400,종로6가,272,동대문,0,0
14,LINK,,0,,"LINESTRING(126.98508166500837 37.57634230704296,126.98515892357797 37.57622646659184)",83843,1000.0,211640.0,211632.0,14.556,1111000000,종로구,1111013400,경운동,269,안국,0,0
15,NODE,POINT(127.00208968641434 37.571173709765596),212799,0.0,,0,,,,,1111000000,종로구,1111016300,종로5가,266,종로5가,0,0
16,NODE,POINT(127.01582230682997 37.573486717947645),212802,1.0,,0,,,,,1111000000,종로구,1111017500,숭인동,268,동묘앞,0,0
