기준연월,자치구,숙박방문자수,평균 숙박일수,평균체류시간(분),전국 평균체류시간(분)
202501,강남구,16289189.0,2.81,628.0,1070.0
202502,강남구,16820029.0,2.84,564.0,1014.0
202503,강남구,18089733.0,2.89,648.0,1280.0
202504,강남구,17302899.0,2.8,498.0,856.0
202505,강남구,18267661.0,2.99,711.0,1178.0
202506,강남구,17885619.0,2.9,578.0,908.0
202507,강남구,19589183.0,2.91,616.0,1050.0
202508,강남구,18079886.0,2.85,578.0,986.0
202509,강남구,18725774.0,2.87,544.0,1038.0
202510,강남구,16819810.0,2.87,574.0,1000.0
202511,강남구,19511625.0,2.85,537.0,874.0
202512,강남구,19553438.0,2.81,562.0,980.0
202501,강동구,3727262.0,3.11,1528.0,1070.0
202502,강동구,3670200.0,3.2,1392.0,1014.0
202503,강동구,4360304.0,3.12,1507.0,1280.0
202504,강동구,4005732.0,3.02,1091.0,856.0
202505,강동구,4667532.0,3.24,1650.0,1178.0
202506,강동구,4277038.0,3.08,1188.0,908.0
202507,강동구,4364580.0,3.16,1378.0,1050.0
202508,강동구,4288438.0,3.07,1281.0,986.0
202509,강동구,4193031.0,3.1,1216.0,1038.0
202510,강동구,4260048.0,3.03,1275.0,1000.0
202511,강동구,4330176.0,3.06,1162.0,874.0
202512,강동구,4318960.0,3.04,1312.0,980.0
202501,강북구,2396108.0,2.87,1151.0,1070.0
202502,강북구,2184585.0,2.99,1081.0,1014.0
202503,강북구,2712850.0,3.04,1319.0,1280.0
202504,강북구,2446479.0,2.88,918.0,856.0
202505,강북구,2827653.0,3.02,1334.0,1178.0
202506,강북구,2569167.0,2.88,973.0,908.0
202507,강북구,2726669.0,3.0,1211.0,1050.0
202508,강북구,2636695.0,2.87,1051.0,986.0
202509,강북구,2571157.0,2.95,1068.0,1038.0
202510,강북구,2769169.0,2.95,1127.0,1000.0
202511,강북구,2627220.0,2.87,915.0,874.0
202512,강북구,2578721.0,2.93,1114.0,980.0
202501,강서구,6067007.0,2.89,948.0,1070.0
202502,강서구,6003909.0,2.96,907.0,1014.0
202503,강서구,6921964.0,2.94,1013.0,1280.0
202504,강서구,6233363.0,2.88,811.0,856.0
202505,강서구,7566845.0,3.07,1112.0,1178.0
202506,강서구,7199023.0,2.93,815.0,908.0
202507,강서구,7606544.0,2.98,916.0,1050.0
202508,강서구,7459213.0,2.89,823.0,986.0
202509,강서구,7507168.0,2.93,794.0,1038.0
202510,강서구,7549042.0,2.89,824.0,1000.0
202511,강서구,7912640.0,2.9,763.0,874.0
202512,강서구,7930929.0,2.87,794.0,980.0
202501,관악구,4413088.0,2.84,1275.0,1070.0
202502,관악구,4287826.0,2.96,1293.0,1014.0
202503,관악구,5371222.0,3.04,1671.0,1280.0
202504,관악구,4622726.0,2.83,1012.0,856.0
