,기준년월,국가,긍정언급량 비율,부정언급량 비율,언급량,인게이지먼트,언급량 증감률,인게이지먼트 증감률
0,202501,글로벌,81.05272517668412,18.947274823315887,560828,7852508,-20.57,-14.63
1,202502,글로벌,88.40971899592813,11.59028100407188,589905,7071237,5.18,-9.95
2,202503,글로벌,79.44357545792947,20.55642454207052,851707,7049352,44.38,-0.31
3,202504,글로벌,74.99890855161212,25.00109144838788,602954,7586380,-29.21,7.62
4,202505,글로벌,81.9052080588077,18.094791941192295,805140,13443975,33.53,77.21
5,202506,글로벌,82.69518986914801,17.304810130852008,717642,11827913,-10.87,-12.02
6,202507,글로벌,77.86957033298836,22.13042966701164,677469,12528290,-5.6,5.92
7,202508,글로벌,76.66841875333036,23.331581246669646,677389,13634079,-0.01,8.83
8,202509,글로벌,78.98108883392393,21.01891116607606,760099,13280218,12.21,-2.6
9,202510,글로벌,72.29316587407736,27.706834125922637,681177,19147911,-10.38,44.18
10,202511,글로벌,74.54819977733901,25.451800222661003,707559,15757100,3.87,-17.71
11,202512,글로벌,79.1003294298263,20.89967057017371,538972,10477375,-23.83,-33.51
