자치구,기초지자체명,현지인방문자수,자치구내 현지인방문자 비율,외지인방문자수,자치구내 외지인방문자 비율,외국인 방문자수
강남구,개포1동,9064290.0,3.0,2773550.0,0.9,36791.0
강남구,개포2동,8580264.0,2.8,2174490.0,0.7,56041.0
강남구,개포3동,5165856.0,1.7,2512783.0,0.8,40846.0
강남구,개포4동,4816592.0,1.6,3304931.0,1.1,47227.0
강남구,논현1동,10709990.0,3.5,15339328.0,5.1,1136443.0
강남구,논현2동,14847984.0,4.9,14653866.0,4.9,762114.0
강남구,대치1동,16222318.0,5.4,7209195.0,2.4,45336.0
강남구,대치2동,21190631.0,7.0,17218390.0,5.7,898362.0
강남구,대치4동,20795624.0,6.9,14591262.0,4.9,295368.0
강남구,도곡1동,19738397.0,6.5,15108726.0,5.0,189181.0
강남구,도곡2동,10338713.0,3.4,5809783.0,1.9,119084.0
강남구,삼성1동,19666616.0,6.5,27783336.0,9.3,2777019.0
강남구,삼성2동,16303304.0,5.4,12766652.0,4.3,546960.0
강남구,세곡동,7349010.0,2.4,4851556.0,1.6,54296.0
강남구,수서동,8544826.0,2.8,10842388.0,3.6,78628.0
강남구,신사동,12374316.0,4.1,19142574.0,6.4,1549847.0
강남구,압구정동,15691134.0,5.2,23145392.0,7.7,1755516.0
강남구,역삼1동,36370719.0,12.0,59239478.0,19.8,2336718.0
강남구,역삼2동,19167456.0,6.3,14736092.0,4.9,404262.0
강남구,일원1동,4012760.0,1.3,2537538.0,0.8,28858.0
강남구,일원본동,6015597.0,2.0,5349099.0,1.8,54777.0
강남구,청담동,14936124.0,4.9,18436996.0,6.2,1072302.0
강동구,강일동,5047742.0,3.3,2582486.0,3.7,24935.0
강동구,고덕1동,3990595.0,2.6,1350419.0,1.9,20583.0
강동구,고덕2동,4174751.0,2.7,2513119.0,3.6,43007.0
강동구,길동,21893294.0,14.4,11500584.0,16.3,74925.0
강동구,둔촌1동,5586466.0,3.7,2944638.0,4.2,54098.0
강동구,둔촌2동,7831173.0,5.1,3084312.0,4.4,32280.0
강동구,명일1동,7891062.0,5.2,2024967.0,2.9,29745.0
강동구,명일2동,4806476.0,3.2,1406506.0,2.0,26508.0
강동구,상일1동,9483201.0,6.2,3812498.0,5.4,41429.0
강동구,상일2동,2446353.0,1.6,1090926.0,1.5,49992.0
강동구,성내1동,8325614.0,5.5,4782872.0,6.8,62905.0
강동구,성내2동,7722085.0,5.1,4337274.0,6.2,83502.0
강동구,성내3동,13472350.0,8.9,8054336.0,11.4,73238.0
강동구,암사1동,12223992.0,8.0,4780710.0,6.8,20997.0
강동구,암사2동,5070544.0,3.3,2288482.0,3.3,24328.0
강동구,암사3동,4998224.0,3.3,1832408.0,2.6,20306.0
강동구,천호1동,8783768.0,5.8,2654642.0,3.8,57064.0
강동구,천호2동,10813226.0,7.1,5658646.0,8.0,102578.0
강동구,천호3동,7578620.0,5.0,3704368.0,5.3,47368.0
강북구,미아동,5333178.0,7.3,2626610.0,6.1,56807.0
강북구,번1동,7162351.0,9.8,5893888.0,13.7,58364.0
강북구,번2동,3688146.0,5.1,1377512.0,3.2,10902.0
강북구,번3동,4203042.0,5.8,2059348.0,4.8,12253.0
강북구,삼각산동,2705210.0,3.7,1091710.0,2.5,18909.0
강북구,삼양동,3339791.0,4.6,1106458.0,2.6,39253.0
강북구,송중동,6037640.0,8.3,4357336.0,10.1,63586.0
강북구,송천동,6003260.0,8.2,4415873.0,10.2,41969.0
강북구,수유1동,3584854.0,4.9,1510866.0,3.5,36523.0
강북구,수유2동,7157664.0,9.8,2869758.0,6.7,46275.0
강북구,수유3동,11127764.0,15.3,8169042.0,18.9,92014.0
강북구,우이동,5945594.0,8.2,5220694.0,12.1,72171.0
강북구,인수동,6549389.0,9.0,2411462.0,5.6,35199.0
강서구,가양1동,16801158.0,11.1,11538835.0,9.6,484616.0
강서구,가양2동,4780534.0,3.1,2149710.0,1.8,57550.0
강서구,가양3동,3568162.0,2.3,1527096.0,1.3,56491.0
강서구,공항동,10735872.0,7.1,20814283.0,17.4,985967.0
강서구,등촌1동,6082510.0,4.0,3135388.0,2.6,82219.0
강서구,등촌2동,2291552.0,1.5,1695953.0,1.4,16653.0
강서구,등촌3동,12313752.0,8.1,11634654.0,9.7,91499.0
강서구,발산1동,12868485.0,8.5,7675658.0,6.4,294661.0
강서구,방화1동,9145160.0,6.0,3649065.0,3.1,195690.0
강서구,방화2동,9371887.0,6.2,14376660.0,12.0,2602508.0
강서구,방화3동,5054840.0,3.3,1716001.0,1.4,84198.0
