NODE_ID,ARS_ID,정류소명,정류소타입,X좌표(WGS84),Y좌표(WGS84),X좌표(GRS80TM),Y좌표(GRS80TM)
118000622,5,한강버스.여의도선착장,한강선착장,126.934607,37.52901,950044.00011157,1947894.926385615
113000513,6,한강버스.망원선착장,한강선착장,126.894245,37.55468,946496.0799005816,1950765.089149306
115000952,7,한강버스.마곡선착장,한강선착장,126.84404,37.5751,942077.4378555658,1953060.362750224
100000001,1001,종로2가사거리,중앙차로,126.9877522923,37.5698055407,954764.4143281314,1952394.075116383
100000002,1002,창경궁.서울대학교병원,중앙차로,126.9965206101,37.579432932,955544.4560207096,1953458.0025933413
100000003,1003,명륜3가.성대입구,중앙차로,126.9982508372,37.5825800121,955699.0951159492,1953806.3388966653
100000004,1004,종로2가.삼일교,중앙차로,126.9876130976,37.5685792736,954751.380393964,1952258.0938145844
100000005,1005,혜화동로터리.여운형활동터,중앙차로,127.001744,37.586243,956009.6743055996,1954211.0886395
101000305,1006,서대문역사거리,중앙차로,126.966893,37.566137,952920.0488253164,1951997.3144363728
100000380,1007,서울역사박물관.경희궁앞,중앙차로,126.97038,37.569135,953229.8709963518,1952328.186741032
100000384,1009,광화문역,중앙차로,126.9763534416,37.5701416811,953758.0049250087,1952436.916758195
100000386,1011,종로1가,중앙차로,126.9810660928,37.5701482455,954174.1750441606,1952435.336307362
100000388,1013,종로2가,중앙차로,126.9849902588,37.5701723774,954520.725955687,1952436.107092572
100000390,1015,종로3가.탑골공원,중앙차로,126.9893256464,37.5702088889,954903.5982806165,1952438.0683708384
100000392,1017,종로4가.종묘,중앙차로,126.9947218896,37.5705069968,955380.3083671628,1952468.5658676312
100000394,1019,종로5가.광장시장,중앙차로,126.9990604685,37.5707860047,955763.6036540004,1952497.4690690544
100000396,1021,종로6가.동대문종합시장,중앙차로,127.004462788,37.5710111729,956240.8003589154,1952519.920785866
100000398,1023,동대문역.흥인지문,중앙차로,127.013815948,37.572447536,957067.5757229894,1952674.963453858
100000366,1041,동묘앞.서울혜화경찰서,중앙차로,127.0186102731,37.5738321574,957491.7276492688,1952826.4005121128
100000006,1101,경기상고,일반차로,126.9693634554,37.5875502159,953151.64011164,1954371.775742322
100000007,1102,신교동,일반차로,126.9702626865,37.5832955233,953228.3691398456,1953899.2887148743
100000009,1104,경복고교,일반차로,126.9708802468,37.5851600316,953284.0604362334,1954105.8401252285
100000010,1105,청운중학교,일반차로,126.9726741314,37.587810579,953444.0943934128,1954399.015752924
100000011,1106,자하문고개.윤동주문학관,일반차로,126.9671261805,37.5921866176,952957.0344971356,1954887.282225846
100000015,1110,통인시장종로구보건소,일반차로,126.9710500404,37.5803257033,953296.0315659506,1953569.4090953125
100000017,1112,효자동,일반차로,126.9706209712,37.583091043,953259.8752433324,1953876.424228797
100000018,1113,사직단.어린이도서관,일반차로,126.9679907155,37.5751355316,953022.6438295468,1952995.109048948
100000019,1114,경복궁역1번출구,일반차로,126.9714158133,37.5761614873,953325.7285980552,1953107.2269646816
100000020,1115,경복궁역2번출구,일반차로,126.9721994292,37.577040144,953395.4704497862,1953204.32079828
100000021,1116,경복궁역3번출구,일반차로,126.9722828893,37.5776713863,953403.2333638076,1953274.3127780035
100000022,1117,경복궁,일반차로,126.9787471496,37.5755767894,953972.7343468772,1953038.7406619072
100000023,1118,광화문역2번출구.KT광화문지사,일반차로,126.9774162769,37.5723209262,953853.2067353604,1952678.170987412
100000415,1119,영추문,일반차로,126.9739817664,37.5789303855,953554.0252660764,1953413.1516072531
100000025,1120,광화문역6번출구,일반차로,126.97640724,37.5700448348,953762.6958988071,1952426.1456559692
100000028,1123,서울역사박물관.강북삼성병원,일반차로,126.971248,37.570023,953307.0780019724,1952426.2743851824
100000029,1124,새문안교회,일반차로,126.9728386477,37.5703368912,953447.740988941,1952460.30987348
100000030,1125,광화문역7번출구,일반차로,126.975837,37.570365,953712.5370603728,1952461.9471861003
100000031,1126,세종문화회관,일반차로,126.9769975778,37.5736489318,953817.0533191751,1952825.712569744
100000032,1127,서울경찰청.경복궁역,일반차로,126.9714842989,37.5757446636,953331.5158192856,1953060.9483160763
100000033,1128,사직단,일반차로,126.968188961,37.5748553458,953039.9734363158,1952963.924649283
