상호명,자치구,신주소,X좌표(WGS84),Y좌표(WGS84),X좌표(GRS80TM),Y좌표(GRS80TM),geometry
1898 명동성당 ,중구,"서울 중구 명동길 74 (명동2가, 명동성당)",126.986775823267,37.5636758699882,954674.4696323506,1951714.4889990077,POINT (954674.4696323506 1951714.4889990077)
SeMA 벙커 ,영등포구,서울 영등포구 의사당대로 지하 101 (여의도역),126.923968896383,37.5219069359564,949099.2230850867,1947112.583492374,POINT (949099.2230850867 1947112.583492374)
삼우치킨센타,영등포구,서울 영등포구 시흥대로 671 (대림동),126.90815760996,37.4916433823343,947680.9345019385,1943763.6872855206,POINT (947680.9345019385 1943763.6872855206)
63스퀘어,영등포구,"서울 영등포구 63로 50 (여의도동, 63한화생명빌딩)",126.939909338068,37.5196641552816,950506.3247498691,1946855.2533610074,POINT (950506.3247498691 1946855.2533610074)
PKM갤러리,종로구,"서울 종로구 삼청로7길 40 (삼청동, 피케이엠 갤러리)",126.980082350686,37.5840916531266,954095.863195176,1953982.7717409232,POINT (954095.863195176 1953982.7717409232)
롯데월드타워 물품보관소,송파구,"서울 송파구 올림픽로 300 (신천동, 롯데월드타워앤드롯데월드몰)",127.104301829165,37.5137129859207,965030.5340134429,1946121.21227489,POINT (965030.5340134429 1946121.21227489)
돈의문역사관,종로구,서울 종로구 새문안로 35-54 (신문로2가),126.968779117404,37.5692197342866,953088.551004681,1952338.3856078875,POINT (953088.551004681 1952338.3856078875)
살곶이다리（전곶교）,성동구,서울 성동구 행당동 61-1,127.045468943168,37.5540825979594,959852.8512578072,1950623.4782210356,POINT (959852.8512578072 1950623.4782210356)
목노집,은평구,서울 은평구 연서로28길 10 (대조동),126.920981012189,37.6177797860508,948900.740449088,1957750.8585834687,POINT (948900.740449088 1957750.8585834687)
HYBE INSIGHT (하이브 뮤지엄),용산구,"서울 용산구 한강대로 42 (한강로3가, 용산트레이드센터) 하이브 인사이트 지하 1, 2층",126.964197674537,37.5245456464592,952655.7198322789,1947384.3255781084,POINT (952655.7198322789 1947384.3255781084)
