상세영업상태명,도로명전체주소,사업장명,관광숙박업상세명,X좌표(Bessel),Y좌표(Bessel),X좌표(WGS84),Y좌표(WGS84),X좌표(GRS80TM),Y좌표(GRS80TM),geometry
휴업,서울특별시 서초구 바우뫼로12길 70 (양재동),더케이호텔앤리조트(주) 더케이호텔서울,관광호텔업,202833.261653939,440511.561175378,127.03281566184333,37.46677328509525,958687.1307513479,1940942.5305340984,POINT (958687.1307513479 1940942.5305340984)
휴업,서울특별시 구로구 디지털로19길 6-14 (가리봉동),스토리호스텔,호스텔업,190265.51915022,442043.305262935,126.89073133541423,37.480526553647216,946132.4492823414,1942540.169784593,POINT (946132.4492823414 1942540.169784593)
휴업,서울특별시 강북구 도봉로 16 (미아동),호텔 빅토리아,관광호텔업,202651.538047427,456473.886142136,127.03081770049423,37.61059319444507,958590.0636271762,1956899.413440186,POINT (958590.0636271762 1956899.413440186)
휴업,서울특별시 강북구 4.19로 135 (수유동),호텔더숲아카데미하우스,관광호텔업,200020.571943402,459790.386206253,127.00102024654612,37.64047781397651,955977.7581531107,1960228.5559897928,POINT (955977.7581531107 1960228.5559897928)
휴업,서울특별시 강북구 덕릉로 111 (번동),쏠라리움씨티,호스텔업,202232.199646001,459201.468505083,127.02607652622,37.63516924358454,958185.3742868565,1959628.1280260913,POINT (958185.3742868565 1959628.1280260913)
휴업,서울특별시 광진구 구의강변로 38 (구의동),동서울 관광호텔,관광호텔업,208051.884671132,447994.805558304,127.09188743789227,37.53416678933917,963943.2639263105,1948395.1219308625,POINT (963943.2639263105 1948395.1219308625)
휴업,"서울특별시 강남구 논현로 647 (논현동, 힐탑관광호텔)",힐탑관광호텔,관광호텔업,202673.67026853,445483.986504694,127.0310292826513,37.511575316915476,958553.9224714497,1945913.8058234884,POINT (958553.9224714497 1945913.8058234884)
휴업,"서울특별시 종로구 종로 69 (종로2가, YMCA)",서울YMCA관광호텔,관광호텔업,198630.79627088,452035.412646906,126.98528909704555,37.57060574251866,954547.3791917319,1952484.04224525,POINT (954547.3791917319 1952484.04224525)
휴업,서울특별시 영등포구 버드나루로 23  (영등포동2가),라스베가스 관광호텔,,192165.93453037,446508.000792709,126.91216936170476,37.52077154152925,948055.7649478941,1946993.0678705843,POINT (948055.7649478941 1946993.0678705843)
휴업,서울특별시 중구 동호로 287 (장충동2가),앰배서더 서울 풀만 호텔,관광호텔업,200141.998469463,450878.102981055,127.00239508340923,37.560179625380506,956051.8441860676,1951319.1801005392,POINT (956051.8441860676 1951319.1801005392)
영업중,"서울특별시 종로구 인사동7길 26, 호텔 썬비 (관훈동)",호텔 썬비,관광호텔업,198586.86523867,452307.07147577,126.98479127076513,37.57305328567664,954504.9062004463,1952755.8262298063,POINT (954504.9062004463 1952755.8262298063)
영업중,서울특별시 중구 퇴계로8길 31-9 (회현동1가),루미아 호텔,호스텔업,198142.881185174,450638.810478052,126.97976978289968,37.55802162496769,954052.2526445776,1951090.5809554725,POINT (954052.2526445776 1951090.5809554725)
영업중,서울특별시 중구 장충단로 226 (광희동2가),소테츠호텔즈 더 스프라지르 서울 동대문,관광호텔업,200614.724711748,451381.249500534,127.0077457570283,37.56471276002065,956527.0495632055,1951819.6196664174,POINT (956527.0495632055 1951819.6196664174)
영업중,서울특별시 중구 명동8가길 53 (충무로2가),호텔 크레토,관광호텔업,198877.823601669,451079.561839622,126.98808687817517,37.56199398756595,954789.2402180417,1951527.2610937217,POINT (954789.2402180417 1951527.2610937217)
영업중,"서울특별시 중구 퇴계로 61, 10층 (남창동)",24게스트하우스 명동타운점,호스텔업,198065.845616529,450787.39677054,126.97889751800665,37.559360208295566,953976.0353210908,1951239.5167646601,POINT (953976.0353210908 1951239.5167646601)
영업중,서울특별시 중구 퇴계로 306 (쌍림동),호텔 더 디자이너스 동대문,관광호텔업,200429.929353714,451264.595792065,127.00565406588672,37.563661814854726,956341.7094065597,1951703.992287402,POINT (956341.7094065597 1951703.992287402)
영업중,"서울특별시 중구 명동8길 27 (명동2가, 엠 플라자)",솔라리아 니시테츠 호텔 서울 명동,관광호텔업,198619.38819773,451135.740279961,126.9851617353538,37.56249978024522,954531.205244682,1951584.7874188167,POINT (954531.205244682 1951584.7874188167)
영업중,"서울특별시 중구 덕수궁길 7, 3층 (태평로2가, 오천회관빌딩)",24게스트하우스 서울시청점,호스텔업,197838.506308443,451380.770303032,126.97632272919911,37.56470591835887,953751.9320303713,1951833.8605618614,POINT (953751.9320303713 1951833.8605618614)
영업중,"서울특별시 중구 명동9길 16 (명동1가, 명동 센트럴빌딩 호텔스카이파크)",호텔 스카이파크 센트럴 명동점,관광호텔업,198625.254251263,451373.686002948,126.98522766237244,37.564643654086495,954538.3305630857,1951822.6076092548,POINT (954538.3305630857 1951822.6076092548)
영업중,"서울특별시 중구 동호로35길 5 (을지로5가, 석광빌딩)",에이큐브 호텔,관광호텔업,200110.335302043,451549.054429182,127.00203676285255,37.566224826534956,956023.7509808788,1951990.0320626528,POINT (956023.7509808788 1951990.0320626528)
영업중,"서울특별시 중구 남대문로7길 19 (소공동, 삼영빌딩)",크라운파크 호텔,관광호텔업,198232.003862907,451276.307297241,126.9807768484726,37.563765584790836,954144.7198215558,1951727.352580325,POINT (954144.7198215558 1951727.352580325)
영업중,서울특별시 중구 남대문로5길 15 (북창동),소테츠호텔즈 더 스프라지르 서울 명동,관광호텔업,198053.638327649,451086.299785656,126.97875853879735,37.56205326608075,953965.4175583,1951538.3660605687,POINT (953965.4175583 1951538.3660605687)
영업중,"서울특별시 중구 청계천로 184 (주교동, 남강빌딩)",2U호스텔,호스텔업,199770.377675687,451814.600448477,126.99818871891904,37.56861731952836,955685.3367807766,1952257.2749265807,POINT (955685.3367807766 1952257.2749265807)
영업중,"서울특별시 중구 삼일대로 362 (장교동, 장교빌딩)",롯데시티호텔명동,관광호텔업,198876.925292257,451628.15318809,126.98807582283844,37.56693673313292,954791.2509625226,1952075.6393400421,POINT (954791.2509625226 1952075.6393400421)
영업중,서울특별시 중구 퇴계로 139 (충무로2가),호텔 스카이파크3,관광호텔업,198814.884440598,451003.686958642,126.98737464729119,37.561310279859455,954725.9237737539,1951451.7500320494,POINT (954725.9237737539 1951451.7500320494)
영업중,서울특별시 서대문구 연세로2가길 3 (창천동),신촌라싸 관광호텔,관광호텔업,194391.16958802,450428.281096865,126.93731093311781,37.55610932244715,950300.9040293623,1950900.0234751925,POINT (950300.9040293623 1950900.0234751925)
영업중,"서울특별시 서대문구 명물길 19, 8,9,10층 (창천동, 경오빌딩)",24게스트하우스 신촌에비뉴엘점,호스텔업,194425.547743193,450629.487978481,126.93769845629599,37.557922386080214,950336.3353621277,1951100.9691760906,POINT (950336.3353621277 1951100.9691760906)
영업중,"서울특별시 서초구 강남대로107길 6 (잠원동, 더리버사이드호텔)",더리버사이드호텔,관광호텔업,201530.475526772,446268.294338007,127.01810060961249,37.51864442504956,957415.3393255936,1946703.854042395,POINT (957415.3393255936 1946703.854042395)
영업중,"서울특별시 서초구 나루터로 64, 호텔티롤 (잠원동)",호텔티롤,관광호텔업,201428.517596116,445869.951055925,127.01694655489298,37.51505552373434,957311.3123881659,1946306.2100413875,POINT (957311.3123881659 1946306.2100413875)
영업중,서울특별시 서초구 반포대로12길 29 (서초동),유원관광호텔,관광호텔업,201066.818606401,442553.417053589,127.01285080903216,37.4851740580832,956932.1989991204,1942992.9161497632,POINT (956932.1989991204 1942992.9161497632)
영업중,서울특별시 서초구 반포대로14길 53 (서초동),호텔 소설(小雪),관광호텔업,201151.028822729,442683.649804365,127.0138031353919,37.48634736120673,957017.0648628735,1943122.6511950225,POINT (957017.0648628735 1943122.6511950225)
영업중,서울특별시 서초구 강남대로 259 (서초동),호텔 페이토,관광호텔업,202811.357664681,442727.748435057,127.03257632468109,37.4867412465796,958676.9625413453,1943157.9445379798,POINT (958676.9625413453 1943157.9445379798)
영업중,서울특별시 서초구 효령로 427 (서초동),신라스테이 서초,관광호텔업,202594.604971816,443029.088344854,127.03012656550837,37.489456939471,958461.8917324262,1943460.3108241549,POINT (958461.8917324262 1943460.3108241549)
영업중,"서울특별시 서초구 서초대로56길 18, 업플로 호스텔 (서초동)",업플로 호스텔,호스텔업,201434.03210615,443506.579876212,127.01700453107202,37.49376158721507,957304.310966292,1943943.754459548,POINT (957304.310966292 1943943.754459548)
영업중,서울특별시 서초구 서초대로 338 (서초동),프로비스타 가족호텔,가족호텔업,201577.653343873,443623.599964173,127.01862883043108,37.494815713678406,957448.4942525765,1944059.9674799421,POINT (957448.4942525765 1944059.9674799421)
영업중,서울특별시 송파구 올림픽로 240 (잠실동),호텔롯데 롯데호텔월드,관광호텔업,208589.363343145,445455.90405262,127.09793903665238,37.51128662915397,964467.0753407287,1945854.4074179428,POINT (964467.0753407287 1945854.4074179428)
영업중,서울특별시 서초구 신반포로 176 (반포동),JW메리어트호텔 서울,관광호텔업,200250.447804795,444683.220506107,127.00362094045613,37.50436410287481,956127.4283907323,1945126.191640973,POINT (956127.4283907323 1945126.191640973)
영업중,서울특별시 중구 퇴계로20길 35 (남산동2가),자자백팩커스,호스텔업,198730.397072346,450725.563076072,126.98641891395069,37.55880429448414,954639.9954430574,1951174.1844857472,POINT (954639.9954430574 1951174.1844857472)
영업중,"서울특별시 송파구 송파대로20길 6 (문정동, 메리제인호텔)",메리제인호텔,소형호텔업,210857.025715606,442611.394350958,127.12354583756027,37.485633962539666,966718.7521744656,1942999.0553336893,POINT (966718.7521744656 1942999.0553336893)
영업중,서울특별시 마포구 월드컵북로5길 41 (서교동),크리에이터타운 서교,관광호텔업,192579.727675563,450446.890829184,126.91681005231287,37.556264066946326,948490.2694568073,1950928.2288081916,POINT (948490.2694568073 1950928.2288081916)
영업중,"서울특별시 영등포구 국회대로72길 7, 컴포트 인 여의도 (여의도동)",컴포트 인 여의도,관광호텔업,192899.064795934,447567.13830193,126.92045220086818,37.530320288021585,948794.2200668294,1948047.9082986116,POINT (948794.2200668294 1948047.9082986116)
영업중,서울특별시 중랑구 망우로52길 28 (상봉동),메이관광호텔,관광호텔업,207875.674530468,454873.610188721,127.08996703578414,37.59614548094295,963803.5971353058,1955272.0614550314,POINT (963803.5971353058 1955272.0614550314)
영업중,서울특별시 중랑구 동일로 866 (묵동),드씨엘관광호텔,관광호텔업,206879.187709228,456164.316640469,127.07869543503386,37.60778243312057,962814.3643028789,1956567.531178573,POINT (962814.3643028789 1956567.531178573)
영업중,서울특별시 관악구 신림동3길 13-8 (신림동),상지,호스텔업,193553.030136586,442745.098221121,126.92789347547377,37.48687871370203,949422.3945412576,1943224.2900645596,POINT (949422.3945412576 1943224.2900645596)
영업중,서울특별시 은평구 통일로 891 (갈현동),호텔디아티스트 연신내점,관광호텔업,192817.322848018,457796.737235427,126.91942630586674,37.622486910630734,948766.764521056,1958273.9444940742,POINT (948766.764521056 1958273.9444940742)
영업중,"서울특별시 강남구 영동대로 618, 호텔인나인 (삼성동)",호텔 인 나인,관광호텔업,205230.860541362,445942.050995741,127.0599558885171,37.51569169364942,961112.5094759752,1946358.143257067,POINT (961112.5094759752 1946358.143257067)
영업중,서울특별시 영등포구 신길로33길 20 (신길동),STOWER HOSTEL,호스텔업,191851.193004066,444816.908814418,126.90862789289733,37.5055321316107,947732.1898221483,1945304.3016368544,POINT (947732.1898221483 1945304.3016368544)
영업중,"서울특별시 금천구 시흥대로 315, 금천롯데캐슬골드파크4차 (독산동)",엠디호텔 독산,관광호텔업,190799.832998673,439885.941303087,126.8967993599506,37.46109417678214,946655.1411741421,1940380.8155850994,POINT (946655.1411741421 1940380.8155850994)
영업중,"서울특별시 서대문구 이화여대1안길 13, 2~8층 (대현동)",이화블로섬하우스,호스텔업,195013.650484425,450588.358613375,126.94435465775203,37.557555224721725,950923.989191915,1951056.738193469,POINT (950923.989191915 1951056.738193469)
영업중,"서울특별시 강남구 도산대로 419, 4층층 (청담동)",호텔리베라 아노블리,가족호텔업,203610.123149101,446848.654294053,127.04162772027307,37.523867795674214,959497.2271548221,1947272.9656457754,POINT (959497.2271548221 1947272.9656457754)
영업중,"서울특별시 강남구 논현로 854, 안다즈서울강남 (신사동)",안다즈 서울 강남,관광호텔업,202482.216634599,447020.420866992,127.02886887630903,37.525419047486594,958370.6833805792,1947450.6380593278,POINT (958370.6833805792 1947450.6380593278)
영업중,서울특별시 영등포구 국회대로36길 2-1 (당산동3가),이도,호스텔업,190915.92259099,447210.304167445,126.89802050246077,37.527087707516166,946809.9597158578,1947701.7197928142,POINT (946809.9597158578 1947701.7197928142)
영업중,서울특별시 송파구 올림픽로12길 4-17 (잠실동),호텔 더 캐슬(신천),관광호텔업,207163.343016332,445433.784924234,127.08180973380412,37.511099400903376,963041.5178284374,1945839.8488604906,POINT (963041.5178284374 1945839.8488604906)
영업중,"서울특별시 중구 명동길 55, 11층 (명동1가)",서울 라이트 인 명동,호스텔업,198636.142124311,451325.229841133,126.98535099256677,37.56420708642739,954548.9571953628,1951774.1129493804,POINT (954548.9571953628 1951774.1129493804)
영업중,"서울특별시 중구 퇴계로18길 43, 지하1,1,2층 (남산동2가)",오요5,호스텔업,198591.133748202,450740.353160129,126.98484273667015,37.55893733953837,954500.8657912773,1951189.7069976216,POINT (954500.8657912773 1951189.7069976216)
영업중,서울특별시 도봉구 도봉로117길 8-6 (쌍문동),그린홈 호스텔,호스텔업,202993.699335477,460811.193026879,127.03471025222639,37.649670375873335,958955.1182848827,1961233.1618794058,POINT (958955.1182848827 1961233.1618794058)
영업중,서울특별시 구로구 남부순환로105길 20 (가리봉동),한중레지던스,호스텔업,190337.689631891,441911.257105979,126.89154903205893,37.479337561742305,946203.8929707891,1942407.7908817276,POINT (946203.8929707891 1942407.7908817276)
영업중,서울특별시 종로구 인사동길 49 (관훈동),나인트리 바이 파르나스 서울 인사동,관광호텔업,198498.918632911,452473.403750001,126.9837953682828,37.5745517732003,954417.876587009,1952922.5589067477,POINT (954417.876587009 1952922.5589067477)
영업중,서울특별시 중랑구 망우로 232 (상봉동),라코지스테이서울,가족호텔업,206859.514743746,454661.814438348,127.07845869446172,37.59424529770955,962786.7265136024,1955065.743156272,POINT (962786.7265136024 1955065.743156272)
영업중,"서울특별시 강남구 도산대로 144, 보코서울강남(가족호텔) (논현동)",보코 서울 강남,가족호텔업,202108.433846703,446160.618240423,127.02463799139065,37.5176731690388,957992.4960662298,1946593.1598791522,POINT (957992.4960662298 1946593.1598791522)
영업중,"서울특별시 종로구 삼봉로 48, 라이나타워 (청진동)",바랑재,한국전통호텔업,198166.359660599,452193.22830404,126.98003148170237,37.57202680248999,954083.9636521763,1952644.258191661,POINT (954083.9636521763 1952644.258191661)
영업중,"서울특별시 광진구 광장로 89, 2층 (광장동)",스테이42,호스텔업,209375.068351656,449558.030455124,127.10687776738807,37.54823889994729,965274.1919608926,1949950.6977294844,POINT (965274.1919608926 1949950.6977294844)
영업중,서울특별시 중구 퇴계로2길 20 (남창동),케이팝 서울타워 호스텔,호스텔업,197912.569432128,450501.826339044,126.9771636009471,37.55678690290817,953821.3059344441,1950954.8720389337,POINT (953821.3059344441 1950954.8720389337)
영업중,서울특별시 종로구 창경궁로 123-20 (인의동),이스트 아뜰리에,호스텔업,199636.410863155,452376.667974027,126.99667198886418,37.57368142694969,955554.4038753746,1952819.8291384208,POINT (955554.4038753746 1952819.8291384208)
영업중,"서울특별시 중구 퇴계로18길 33 (1층,5층) (남산동2가)",오요6(OYO6),호스텔업,198623.369754854,450781.146728928,126.98520749629189,37.55930493632496,954533.3052741323,1951230.3134795865,POINT (954533.3052741323 1951230.3134795865)
영업중,서울특별시 강서구 마곡중앙로 143 (마곡동),머큐어 서울 마곡,관광호텔업,184522.907834771,451531.924488537,126.82560538680809,37.56593944038036,940442.3115693349,1952055.560421381,POINT (940442.3115693349 1952055.560421381)
영업중,"서울특별시 구로구 디지털로32다길 20-6, 1층 (구로동)",Nine RoD,호스텔업,191039.582188916,442227.22816683,126.8994805737937,37.48219158032681,946907.1853688593,1942719.9247292655,POINT (946907.1853688593 1942719.9247292655)
영업중,"서울특별시 종로구 지봉로 24-12, 5층 (숭인동)",U-STAY HOSTEL,호스텔업,201365.396263672,452247.733898196,127.01624387835264,37.57251892823461,957282.0159227431,1952681.7774737708,POINT (957282.0159227431 1952681.7774737708)
영업중,서울특별시 서대문구 신촌로 157 (대현동),화영호스텔,호스텔업,194948.135636533,450516.885928437,126.94361368803897,37.556910902059506,950858.1211808415,1950985.6409066105,POINT (950858.1211808415 1950985.6409066105)
영업중,서울특별시 용산구 이태원로26길 17-1 (이태원동),호스텔 펠라즈(Hostel Fellaz),호스텔업,199369.871968405,447943.699776291,126.99365896311949,37.53374064251053,955264.4726345623,1948390.0371974062,POINT (955264.4726345623 1948390.0371974062)
영업중,"서울특별시 중구 을지로 255, 기승빌딩 10층 (을지로6가)",케이스타호텔,호스텔업,200513.524528228,451579.099838143,127.0066004291739,37.5664954240064,956426.9387950223,1952017.9276553534,POINT (956426.9387950223 1952017.9276553534)
영업중,"서울특별시 구로구 디지털로19길 9, 가리봉 호스텔 (가리봉동)",가리봉 호스텔,호스텔업,190189.036566337,442005.296573287,126.88986713944318,37.48018328145794,946055.7951879128,1942502.580588406,POINT (946055.7951879128 1942502.580588406)
영업중,서울특별시 종로구 돈화문로11길 37 (낙원동),목시 서울 인사동 호텔,관광호텔업,198988.983646221,452223.097221066,126.98934333677353,37.572297245278556,954906.419644794,1952669.7528413653,POINT (954906.419644794 1952669.7528413653)
영업중,"서울특별시 송파구 송이로 104, 관광호텔 (가락동)",부티크 호텔 XYM,소형호텔업,210664.369854452,443861.184407649,127.1213855318552,37.4968967775588,966532.7905439376,1944249.3529374849,POINT (966532.7905439376 1944249.3529374849)
영업중,"서울특별시 서대문구 이화여대1안길 15, 4~8층 (대현동)",디케이하우스(DK HOUSE),호스텔업,195004.191373545,450587.21669084,126.94424761160445,37.557544884244905,950914.5277435515,1951055.6468658678,POINT (950914.5277435515 1951055.6468658678)
영업중,"서울특별시 구로구 남부순환로105다길 9-1, STUDIO 135 (가리봉동)",스튜디오 135 호스텔,호스텔업,190288.461900752,441957.227369102,126.89099186639899,37.479751234642755,946154.927600943,1942454.0038413464,POINT (946154.927600943 1942454.0038413464)
영업중,"서울특별시 관악구 신림로65길 10-33, 삼화 (신림동)",삼화,호스텔업,193621.587472621,442638.239212304,126.92866958004969,37.48591639438862,949490.3594693481,1943117.109999139,POINT (949490.3594693481 1943117.109999139)
영업중,서울특별시 은평구 진흥로 179 (대조동),포레스타호텔,관광호텔업,193699.928737406,456254.05836331,126.92943734271678,37.6085942100495,949640.8361137584,1956727.1838969025,POINT (949640.8361137584 1956727.1838969025)
영업중,"서울특별시 종로구 율곡로 228, glue hotel (이화동)",글루호텔,관광호텔업,200280.218939597,452611.575936538,127.00395996672916,37.575797992044116,956199.2013411291,1953051.2292043758,POINT (956199.2013411291 1953051.2292043758)
영업중,서울특별시 영등포구 신길로 293 (영등포동1가),토요코인 서울영등포,관광호텔업,192147.071374183,446166.198579975,126.91195966231052,37.51769176018253,948035.0986738913,1946651.498796596,POINT (948035.0986738913 1946651.498796596)
영업중,서울특별시 영등포구 선유로23길 3 (양평동1가),가예,호스텔업,190182.956236984,446740.003448997,126.88973482235998,37.52284277305691,946074.7862953568,1947235.484500738,POINT (946074.7862953568 1947235.484500738)
영업중,서울특별시 금천구 시흥대로56길 15 (시흥동),호텔 트리플8,호스텔업,191301.371054373,438953.867911208,126.9024793141089,37.452701045075834,947151.5543665818,1939446.451417132,POINT (947151.5543665818 1939446.451417132)
영업중,서울특별시 금천구 범안로12길 29-29 (독산동),로즈데일 인 독산,호스텔업,190517.410148318,440300.104174246,126.89360177509221,37.464822924380364,946375.018858004,1940796.3118003525,POINT (946375.018858004 1940796.3118003525)
영업중,"서울특별시 중구 소공로6나길 8, 1-2층 (회현동2가)",제이오너 호스텔,호스텔업,198483.811641009,450642.314853297,126.98362830083774,37.55805384668407,954393.0665166567,1951092.276546423,POINT (954393.0665166567 1951092.276546423)
영업중,"서울특별시 구로구 경인로 610, 코리아빌딩 (신도림동)",더링크호텔,관광호텔업,189661.489845947,444788.587049392,126.8838634433875,37.5052548853815,945543.1866504158,1945287.5857843226,POINT (945543.1866504158 1945287.5857843226)
영업중,서울특별시 중구 퇴계로 52 (회현동1가),보코 언 아이에이치지 호텔,관광호텔업,198043.635511275,450686.849956646,126.97864642460645,37.55845424350778,953953.3009689607,1951139.1275370282,POINT (953953.3009689607 1951139.1275370282)
영업중,"서울특별시 용산구 양녕로 495, 스카이 스위트 (이촌동)",스카이 스위트,호스텔업,196410.233494294,446549.862090232,126.96018065827995,37.52117526945888,952298.6218206312,1947012.430725566,POINT (952298.6218206312 1947012.430725566)
영업중,"서울특별시 서대문구 연세로2가길 4, 피엔에스호텔 (창천동)",메이븐호텔,관광호텔업,194417.265399993,450431.708419531,126.93760624182815,37.55614036248935,950327.0077749954,1950903.3111140039,POINT (950327.0077749954 1950903.3111140039)
영업중,"서울특별시 중구 명동10길 23, 4층 (명동2가)",유스테이호스텔(U-STAY HOSTEL),호스텔업,198662.601529757,451175.710664862,126.98565076085416,37.56285997579352,954574.6133484705,1951624.512827257,POINT (954574.6133484705 1951624.512827257)
영업중,서울특별시 송파구 오금로11길 21-19 (방이동),오로시에 관광호텔,관광호텔업,209581.256815683,445953.572522606,127.10916434146525,37.51576090762388,965461.1996807135,1946346.619920869,POINT (965461.1996807135 1946346.619920869)
영업중,"서울특별시 송파구 올림픽로32길 7, 호텔 더 캐슬 (방이동)",호텔 더 캐슬(방이1),관광호텔업,209573.702036723,445919.513434498,127.1090784472312,37.515454114856134,965453.4676091886,1946312.614759875,POINT (965453.4676091886 1946312.614759875)
영업중,"서울특별시 서대문구 신촌로 141, 위고인호스텔 (대현동)",위고인,호스텔업,194770.272306267,450529.307302535,126.941600637558,37.55702181304129,950680.39354941,1950999.0003089814,POINT (950680.39354941 1950999.0003089814)
영업중,서울특별시 중구 을지로 224 (을지로5가),나인트리 바이 파르나스 서울 동대문,관광호텔업,200187.271400312,451592.158106036,127.00290760004481,37.56661317869475,956100.884973736,1952032.7106216582,POINT (956100.884973736 1952032.7106216582)
영업중,"서울특별시 강남구 영동대로 506, 유니온타 (삼성동)",신라스테이 삼성,관광호텔업,205513.023202982,445316.784823869,127.06314286377248,37.51005644663453,961391.2468598267,1945731.6354434234,POINT (961391.2468598267 1945731.6354434234)
영업중,서울특별시 중구 남대문로 84 (남대문로2가),스탠포드호텔 명동,관광호텔업,198401.701305913,451374.312212737,126.98269734701074,37.56464891992996,954314.8696170425,1951824.418881357,POINT (954314.8696170425 1951824.418881357)
영업중,서울특별시 영등포구 선유로23길 4 (양평동1가),ROJIN(로진),호스텔업,190171.844795511,446760.131273728,126.88960885560269,37.52302400442316,946063.7857839173,1947255.6633840234,POINT (946063.7857839173 1947255.6633840234)
영업중,서울특별시 마포구 마포대로 67 (도화동),로이넷 호텔 서울 마포,관광호텔업,195359.808050656,448841.031803244,126.94828351283563,37.54181380395079,951260.7491310138,1949308.2635008194,POINT (951260.7491310138 1949308.2635008194)
영업중,"서울특별시 마포구 양화로 144, MERCURE 앰배서더 HOTEL 홍대 (동교동)",머큐어 앰배서더 서울 홍대,관광호텔업,193073.64466155,450341.82321403,126.92240088718206,37.55532129671976,948983.4365762465,1950820.583875533,POINT (948983.4365762465 1950820.583875533)
영업중,"서울특별시 광진구 동일로30길 52, 4, 5층 (화양동)",우드블랑 호스텔,호스텔업,206136.313460939,449461.628618281,127.07022675715525,37.547397340642675,962036.2431337393,1949871.5003574484,POINT (962036.2431337393 1949871.5003574484)
영업중,서울특별시 중구 수표로 10 (충무로3가),스테이모드,호스텔업,199095.113474444,451098.796818087,126.99054619025489,37.56216754679717,955006.5457669698,1951545.3363970153,POINT (955006.5457669698 1951545.3363970153)
영업중,"서울특별시 종로구 종로54길 32, 3~4층 (창신동)",247 HOSTEL SEOUL,호스텔업,201161.5695658,452070.731182291,127.01393633085118,37.57092442073373,957077.3320523378,1952505.9263924102,POINT (957077.3320523378 1952505.9263924102)
영업중,"서울특별시 종로구 종로8길 15, 3층 (관철동)",찰나 호스텔,호스텔업,198527.201079961,451901.155059874,126.98411672896235,37.569395930812725,954443.1131637518,1952350.3872784188,POINT (954443.1131637518 1952350.3872784188)
