분류,자치구,공연/행사명,날짜,장소,기관명,시작일,종료일,X좌표(WGS84),Y좌표(WGS84),X좌표(GRS80TM),Y좌표(GRS80TM)
기타,광진구,[미래한강본부] 2025 한강공원 눈썰매장 개장,2025-12-31~2026-02-28,"뚝섬, 잠원, 여의도",미래한강본부,2025.12.31 0:00,2026.2.28 0:00,127.0739782,37.52936457,962358.5623426568,1947869.3614787608
연극,종로구,연극 [잔류자들],2025-12-31~2026-01-04,선돌극장,기타,2025.12.31 0:00,2026.1.4 0:00,126.9997652,37.58681262,955835.304230442,1954275.2138975917
축제-시민화합,종로구,2025 제야의 종 타종행사,2025-12-31~2026-01-01,보신각 일대,서울시청,2025.12.31 0:00,2026.1.1 0:00,126.9836776,37.56976739,954404.5605094272,1952391.8118503252
축제-시민화합,중구,서울라이트 DDP : 새해맞이 카운트다운,2025-12-31~2026-01-01,DDP 전면(어울림광장 및 디자인거리 관람가능),동대문디자인플라자(DDP),2025.12.31 0:00,2026.1.1 0:00,127.0097797,37.56735732,956708.2068994156,1952112.0812737872
축제-문화/예술,서대문구,[서대문구] 2026 신촌카운트다운콘서트,2025-12-31~2026-01-01,신촌 스타광장,서대문구청,2025.12.31 0:00,2026.1.1 0:00,126.9365597,37.55673784,950234.9693574664,1950970.151890232
클래식,종로구,2025 아듀콘서트,2025-12-31~2025-12-31,세종체임버홀,세종문화회관,2025.12.31 0:00,2025.12.31 0:00,126.9760053,37.5726241,953728.7969967966,1952712.5005738556
클래식,종로구,크리스마스 지브리 & 디즈니 OST 콘서트,2025-12-31~2025-12-31,세종대극장,세종문화회관,2025.12.31 0:00,2025.12.31 0:00,126.9760053,37.5726241,953728.7969967966,1952712.5005738556
전시/미술,종로구,2025 DOAM OPEN CALL 선정 전시 [무너지는 것들에 대하여 When Things Collapse],2025-12-30~2026-01-29,서울아트센터 도암 3층 도암갤러리,기타,2025.12.30 0:00,2026.1.29 0:00,126.9679065,37.60570799,953034.4231392008,1956387.0303320768
클래식,관악구,[관악문화재단] 송년음악회 [지브리&디즈니 OST 콘서트],2025-12-30~2025-12-30,관악문화재단 관악아트홀,관악문화재단,2025.12.30 0:00,2025.12.30 0:00,126.9449624,37.46755336,950918.7635116624,1941071.2328111068
클래식,종로구,[세종문화회관] 정명훈 × KBS교향악단 [베토벤 9],2025-12-30~2025-12-30,세종대극장,세종문화회관,2025.12.30 0:00,2025.12.30 0:00,126.9760053,37.5726241,953728.7969967966,1952712.5005738556
콘서트,중구,2025 서울콘 SEOULCon,2025-12-29~2026-01-01,DDP 일대,서울시청,2025.12.29 0:00,2026.1.1 0:00,127.0097797,37.56735732,956708.2068994156,1952112.0812737872
독주/독창회,종로구,김성아 바이올린 독주회,2025-12-29~2025-12-29,세종체임버홀,세종문화회관,2025.12.29 0:00,2025.12.29 0:00,126.9760053,37.5726241,953728.7969967966,1952712.5005738556
무용,광진구,[광진문화재단] 송년특집 클래식 발레 [호두까기 인형],2025-12-28~2025-12-31,나루아트센터 대공연장,광진문화재단,2025.12.28 0:00,2025.12.31 0:00,127.070576,37.53757063,962062.114331774,1948781.14232423
축제-문화/예술,중구,"2025 서울윈터페스타[ K-POP 댄스파티 1회차] with 서인, DJ ILLI",2025-12-28~2025-12-28,서울특별시청 8층 다목적홀,서울시청,2025.12.28 0:00,2025.12.28 0:00,126.9779184,37.56637078,953893.8793590456,1952017.7846871724
교육/체험,은평구,[구립증산정보도서관] 어린이도서관 동네북과 함께하는 [찾아가는 팝업 도서관],2025-12-28~2025-12-28,어린이도서관 동네북(은평구 진흥로 174 3층),은평구청,2025.12.28 0:00,2025.12.28 0:00,126.9076713,37.58280944,947701.6546022428,1953878.3655357205
뮤지컬/오페라,종로구,뮤지컬 [이터니티],2025-12-27~2026-03-15,NOL 유니플렉스 1관,기타,2025.12.27 0:00,2026.3.15 0:00,127.0036202,37.58119758,956172.3645676088,1953650.446011268
연극,종로구,그루브앤드(groove&) [물의 놀이] - 2025년 창작산실 2차 제작지원 전통예술,2025-12-27~2025-12-28,대학로예술극장 소극장,기타,2025.12.27 0:00,2025.12.28 0:00,127.0031785,37.58209615,956133.8918403283,1953750.3442541044
축제-시민화합,서초구,2025 한강페스티벌 겨울 [한강바람축제],2025-12-27~2025-12-28,반포한강공원 세빛섬 앞 수변무대,미래한강본부,2025.12.27 0:00,2025.12.28 0:00,126.9952696,37.50976948,955392.5049729798,1945729.8114272216
클래식,금천구,[금천문화재단] 2025 국립심포니오케스트라와 함께하는 송년음악회,2025-12-27~2025-12-27,금나래아트홀,금천문화재단,2025.12.27 0:00,2025.12.27 0:00,126.8959725,37.45657851,946578.8037064254,1939880.300341935
클래식,성동구,[성동문화재단] 2025 성동문화나눔 송년공연 [카로스 타악기 앙상블],2025-12-27~2025-12-27,소월아트홀 (월요일 휴관),성동문화재단,2025.12.27 0:00,2025.12.27 0:00,127.0360064,37.55930723,959019.9143347088,1951207.2066893373
전시/미술,서대문구,MINDBOOM 마인드붐 서울 2025 : 잃어버린 행운 보관소 LOST AND LUCKY,2025-12-27~2025-12-27,"서울 서대문구 원앙아리(서대문구 천연동 13-13, 1층)",기타,2025.12.27 0:00,2025.12.27 0:00,126.9621067,37.56886919,952499.0911246624,1952302.8464017625
콘서트,양천구,[양천문화재단] 박해미의 살롱콘서트 [라비앙로즈],2025-12-27~2025-12-27,양천문화회관 대극장,양천문화재단,2025.12.27 0:00,2025.12.27 0:00,126.86334,37.51652093,943737.6741489952,1946549.5676430904
교육/체험,은평구,"문예북흥 No.52 - 『월든』 호수에 비친 나를 바라보는 시간, 김태훈과 함께하는 삶의 성찰과 노래.",2025-12-27~2025-12-27,이호철북콘서트홀,은평역사한옥박물관,2025.12.27 0:00,2025.12.27 0:00,126.9264997,37.6139965,949385.2123380104,1957328.1270995813
전시/미술,금천구,[금천문화재단] 2025 만천명월예술인家 예술인 대상 AI 워크숍 [AI 예술인가] 온라인 교육 결과전,2025-12-26~2026-01-31,"만천명월예술인가, 온라인 전시",금천문화재단,2025.12.26 0:00,2026.1.31 0:00,126.9074454,37.45069768,947589.3922025802,1939221.417444779
전시/미술,중구,[성동문화재단] 2025 생활밀착형 문화예술교육 지원사업 가가호호 사업 성과공유 전시회 [한 그루씩 모여 숲이 되다],2025-12-26~2025-12-31,소월전시실 (서울시 성동구 왕십리로 281),성동문화재단,2025.12.26 0:00,2025.12.31 0:00,127.0360064,37.55930723,959019.9143347088,1951207.2066893373
국악,중구,2025 국립국악관현악단 청년교육단원 결과 발표회 [청풍국악(靑風國樂)],2025-12-26~2025-12-26,국립극장 해오름,국립극장,2025.12.26 0:00,2025.12.26 0:00,126.9992673,37.55199491,955770.761158916,1950412.595648736
영화,동작구,[동작문화재단] 까망돌어울마당 아트홀 [공연실황 스크린 : ON AIR] 1회차 향연,2025-12-26~2025-12-26,까망돌어울마당 아트홀,동작문화재단,2025.12.26 0:00,2025.12.26 0:00,126.960611,37.50512021,952326.4380413352,1945230.9973024856
전시/미술,강남구,서울일러스트레이션페어V.20,2025-12-25~2025-12-28,코엑스 C홀,기타,2025.12.25 0:00,2025.12.28 0:00,127.059159,37.51182391,961040.076085128,1945929.366482106
무용,광진구,[광진문화재단] 가족무용극 고블린파티② [루돌프],2025-12-25~2025-12-26,광진어린이공연장,광진문화재단,2025.12.25 0:00,2025.12.26 0:00,127.0844568,37.56505808,963301.9130917756,1951825.210488193
클래식,관악구,[관악문화재단] 클래식 그림자극 [호두까기인형],2025-12-25~2025-12-25,관악문화재단 관악아트홀,관악문화재단,2025.12.25 0:00,2025.12.25 0:00,126.9449624,37.46755336,950918.7635116624,1941071.2328111068
클래식,종로구,라틴 키친 루나 단독 콘서트 [라키루의 크리스마스],2025-12-25~2025-12-25,세종S씨어터,세종문화회관,2025.12.25 0:00,2025.12.25 0:00,126.9760053,37.5726241,953728.7969967966,1952712.5005738556
클래식,종로구,2025 크리스마스 콘서트 - 서울브라스사운드,2025-12-25~2025-12-25,세종문화회관 세종체임버홀,세종문화회관,2025.12.25 0:00,2025.12.25 0:00,126.9760053,37.5726241,953728.7969967966,1952712.5005738556
