공원명,자치구,공원주소,X좌표(GRS80TM),Y좌표(GRS80TM),X좌표(WGS84),Y좌표(WGS84),geometry
남산공원,중구,서울특별시 중구 삼일대로 231(예장동),954984.395154378,1950211.0452157254,126.9903773,37.5501402,POINT (954984.395154378 1950211.0452157254)
길동생태공원,강동구,서울특별시 강동구 천호대로 1291(길동생태공원) ,969502.2960621883,1949063.6823561366,127.1547791,37.5403935,POINT (969502.2960621883 1949063.6823561366)
서울대공원,과천시,경기도 과천시 대공원광장로 102,957517.4720910424,1936474.6589182569,127.0198465,37.4264494,POINT (957517.4720910424 1936474.6589182569)
서울숲,성동구,서울특별시 성동구 뚝섬로 273 (성수동1가) ,959522.6716240935,1949403.4539755387,127.0417982,37.5430717,POINT (959522.6716240935 1949403.4539755387)
월드컵공원,마포구,서울특별시 마포구 하늘공원로 84(월드컵공원),945153.8783340682,1952673.8722763185,126.878907,37.571805,POINT (945153.8783340682 1952673.8722763185)
광화문시민열린마당,종로구,서울특별시 종로구 세종로 76-2,953908.4362618123,1952980.0852068965,126.9780227,37.5750449,POINT (953908.4362618123 1952980.0852068965)
진관근린공원(구파발폭포),은평구,서울특별시 은평구 진관동 393,948758.1440432222,1959886.9439077112,126.9192155,37.6370244,POINT (948758.1440432222 1959886.9439077112)
중마루근린공원,영등포구,서울특별시 영등포구 영등포동2가 222,947975.3561095655,1946889.3296225676,126.9112668,37.519832,POINT (947975.3561095655 1946889.3296225676)
응봉공원 (대현산배수지공원),성동구,서울특별시 성동구 금호동1가 산1-72,957760.9540196973,1950982.8426776542,127.0217653,37.5572281,POINT (957760.9540196973 1950982.8426776542)
매화근린공원,강서구,서울특별시 강서구 등촌동 630-14,943575.0893378375,1951106.549747529,126.86115,37.5575833,POINT (943575.0893378375 1951106.549747529)
성수근린공원,성동구,서울특별시 성동구 성수2가 3동 302-25,960460.3581849916,1949592.2844553117,127.0524023,37.5448144,POINT (960460.3581849916 1949592.2844553117)
샛마을근린공원,강동구,서울특별시 강동구 명일1동 288,968833.5617627865,1950185.2949540243,127.1471618,37.5504807,POINT (968833.5617627865 1950185.2949540243)
여의도근린공원,영등포구,서울특별시 영등포구 여의공원로 68 (여의도동),948961.4309217585,1947581.8611236743,126.922377,37.526129,POINT (948961.4309217585 1947581.8611236743)
간데메근린공원,동대문구,서울특별시 동대문구 서울시립대로2길 59(간데메공원),960162.9664286741,1952747.8678952851,127.0488644,37.5732438,POINT (960162.9664286741 1952747.8678952851)
훈련원근린공원,중구,서울특별시 중구 을지로 227,956181.8890331221,1952133.3918768156,127.0038188,37.5675245,POINT (956181.8890331221 1952133.3918768156)
영등포근린공원,영등포구,서울특별시 영등포구 신길로 275,947918.846946821,1946400.5099450476,126.910662,37.515423,POINT (947918.846946821 1946400.5099450476)
보라매근린공원,동작구,서울특별시 동작구 여의대방로20길 33(보라매공원),948577.0337021581,1943834.6133561886,126.918289,37.492333,POINT (948577.0337021581 1943834.6133561886)
어린이대공원,광진구,서울특별시 광진구 능동로 216(서울어린이대공원),962982.1716991209,1950144.7472557202,127.0809212,37.5498987,POINT (962982.1716991209 1950144.7472557202)
천호근린공원,강동구,서울특별시 강동구 올림픽로 702(천호공원),966992.153388544,1949526.0026806851,127.1263451,37.5444741,POINT (966992.153388544 1949526.0026806851)
