상세영업상태명,소재지전체주소,도로명전체주소,사업장명,숙박업상세명,X좌표(Bessel),Y좌표(Bessel),X좌표(WGS84),Y좌표(WGS84),X좌표(GRS80TM),Y좌표(GRS80TM),geometry,자치구,행정동,ADSTRD_CD,ADSTRD_NM
영업,서울특별시 서대문구 창천동 20-37,서울특별시 서대문구 연세로2길 50 (창천동),URBAN HOTEL&PLAY(구 아바니호텔),여관업,194597.942628915,450471.896571617,126.9396507283734,37.55650354260485,950507.8271651455,1950942.525684691,POINT (950507.8271651455 1950942.525684691),서대문구,창천동,11410585,신촌동
영업,서울특별시 중구 신당동 366-101번지,서울특별시 중구 다산로 66 (신당동),세화장여관,여관업,200624.709902761,449784.759561479,127.00785755723771,37.5503285406817,956528.5673739176,1950223.7137983912,POINT (956528.5673739177 1950223.7137983912),중구,신당동,11140635,약수동
영업,서울특별시 송파구 방이동 41-5,서울특별시 송파구 올림픽로34길 5 (방이동),IMT 모텔,여관업,209723.684544286,445996.934629074,127.11077594353289,37.516150118761125,965603.7988605398,1946389.2099946104,POINT (965603.7988605398 1946389.2099946104),송파구,방이동,11710562,방이2동
영업,서울특별시 영등포구 영등포동3가 24,서울특별시 영등포구 영등포로46길 7-6 (영등포동3가),별빛호텔(별),여관업,191808.025363456,446252.586271792,126.90812356504728,37.518467138777645,947696.6422945168,1946739.6486579585,POINT (947696.6422945167 1946739.6486579585),영등포구,영등포동3가,11560535,영등포동
영업,서울특별시 중구 회현동1가 127-2번지,서울특별시 중구 퇴계로12길 45-1 (회현동1가),동원여관,여관업,198314.290747828,450598.297214421,126.98170982988024,37.55765694597197,954223.3794932588,1951049.1750522472,POINT (954223.3794932589 1951049.1750522472),중구,회현동1가,11140540,회현동
영업,서울특별시 용산구 이태원동 211-30번지,서울특별시 용산구 회나무로 45-1 (이태원동),성지모텔,여관업,199194.460279777,448636.987666127,126.99167354079296,37.53998696968166,955092.8042577164,1949083.978967833,POINT (955092.8042577165 1949083.978967833),용산구,이태원동,11170660,이태원2동
영업,서울특별시 영등포구 양평동4가 161-2번지,서울특별시 영등포구 선유로53길 5 (양평동4가),스타장,여인숙업,190885.396419229,448306.496133278,126.89766146852584,37.53696400990658,946785.2534576115,1948797.6476933549,POINT (946785.2534576117 1948797.6476933549),영등포구,양평동4가,11560620,양평2동
영업,서울특별시 영등포구 양평동1가 9-31번지,서울특별시 영등포구 선유로 88-2 (양평동1가),팔레스,여관업,190241.784101096,446614.496207991,126.89040197743834,37.52171258875718,946132.9265151472,1947109.7142902936,POINT (946132.9265151472 1947109.7142902939),영등포구,양평동1가,11560610,양평1동
영업,서울특별시 서대문구 홍은동 201-1,서울특별시 서대문구 연희로 353 (홍은동),스위스그랜드호텔,관광호텔,194211.997213753,454098.970268002,126.9352538845735,37.58918063358112,950141.2682960328,1954570.2231556005,POINT (950141.2682960329 1954570.2231556005),서대문구,홍은동,11410685,홍은2동
영업,서울특별시 영등포구 양평동2가 40-5,서울특별시 영등포구 영등포로 9 (양평동2가),이후 브릿지 호텔,관광호텔,189552.021760333,446847.704378567,126.88259596642742,37.52380618084951,945444.6666741412,1947346.4860122756,POINT (945444.6666741412 1947346.4860122753),영등포구,양평동2가,11560610,양평1동
영업,서울특별시 은평구 응암동 590-24 지~5층,"서울특별시 은평구 가좌로9길 13-5 (응암동,지~5층)",메이플,여관업,192471.741405995,454142.841573822,126.91554966610347,37.58956320158012,948401.9259314386,1954623.3097382933,POINT (948401.9259314386 1954623.3097382935),은평구,"응암동,지~5층",11380600,응암3동
영업,서울특별시 중구 장충동2가 38-1번지,서울특별시 중구 동호로30길 33 (장충동2가),웰빙텔,여관업,200360.971675993,450990.207716326,127.00487345852116,37.56118963278656,956271.3244597038,1951430.0792327377,POINT (956271.3244597038 1951430.0792327377),중구,장충동2가,11140580,장충동
영업,서울특별시 은평구 대조동 15-90,서울특별시 은평구 통일로65길 9 (대조동),금강장,여관업,193743.419971201,456290.607866358,126.92992957758273,37.608923814039805,949684.5043041784,1956763.4882535364,POINT (949684.5043041784 1956763.4882535364),은평구,대조동,11380570,대조동
영업,서울특별시 용산구 이태원동 166-33,서울특별시 용산구 이태원로17길 10-4 (이태원동),동인,여관업,199176.412380799,448056.740193187,126.99147003193964,37.534758963372425,955071.6888777736,1948504.057723947,POINT (955071.6888777736 1948504.057723947),용산구,이태원동,11170650,이태원1동
영업,서울특별시 은평구 갈현동 395-14,서울특별시 은평구 통일로 863-22 (갈현동),레스트(Rest),여관업,192832.721208984,457562.326873563,126.91960304630864,37.62037504337575,948780.9123642036,1958039.5439709804,POINT (948780.9123642036 1958039.5439709804),은평구,갈현동,11380551,갈현1동
영업,"서울특별시 중구 을지로5가 77-2번지 3,5,6,9,10,11,13,14층","서울특별시 중구 을지로 228 (을지로5가, 3,5,6,9,10,11,13,14층)",(주)동대문레지던스 웨스턴코업,일반호텔,200224.815166574,451582.627103843,127.0033325533179,37.56652729969471,956138.363241617,1952022.9843482869,POINT (956138.363241617 1952022.9843482869),중구,"을지로5가, 3,5,6,9,10,11,13,14층",11140605,을지로동
영업,서울특별시 영등포구 영등포동6가 49-2번지,서울특별시 영등포구 영등포로35길 17-4 (영등포동6가),모텔 욜로(YOLO),여관업,191458.008113425,446620.592520735,126.90415998813938,37.521779657445336,947348.7105618478,1947109.365700792,POINT (947348.7105618478 1947109.3657007918),영등포구,영등포동6가,11560535,영등포동
영업,서울특별시 영등포구 신길동 97-32번지,서울특별시 영등포구 영등포로 373-14 (신길동),은하수여관,여인숙업,192884.680341707,445783.475982317,126.9203068826859,37.51424947846966,948770.3928448132,1946265.018822539,POINT (948770.3928448132 1946265.018822539),영등포구,신길동,11560630,신길1동
영업,서울특별시 영등포구 양평동4가 280-2,서울특별시 영등포구 선유로54길 1 (양평동4가),호텔 리버트리,여관업,191000.367849137,448258.293476992,126.8989628995809,37.536530844781694,946899.9248047072,1948748.8545347035,POINT (946899.9248047073 1948748.8545347033),영등포구,양평동4가,11560620,양평2동
영업,서울특별시 용산구 서계동 229-3번지,서울특별시 용산구 만리재로36길 16-1 (서계동),금강,여관업,197013.518381175,450148.866157904,126.96699010792544,37.55360422955148,952920.7394251528,1950606.8173853925,POINT (952920.7394251528 1950606.8173853925),용산구,서계동,11170555,청파동
영업,서울특별시 영등포구 영등포동 580-97번지,서울특별시 영등포구 신길로 250-1 (영등포동),삼호여관,여관업,192114.741019941,445758.533877179,126.9115983635112,37.51401844298788,948000.6217513868,1946244.16420963,POINT (948000.6217513869 1946244.16420963),영등포구,영등포동,11560515,영등포본동
영업,서울특별시 중구 신당동 241-102,서울특별시 중구 다산로35길 21 (신당동),8모텔,여관업,201203.715042629,451284.677187557,127.01441217941348,37.56384211443081,957115.292696694,1951719.9630577324,POINT (957115.2926966941 1951719.9630577324),중구,신당동,11140615,신당동
영업,서울특별시 서대문구 북가좌동 309-12,서울특별시 서대문구 응암로1길 3 (북가좌동),제이모텔,여관업,192112.287100613,453184.6288221,126.9114901804796,37.58092681885349,948037.5287367678,1953667.3775671409,POINT (948037.5287367678 1953667.3775671409),서대문구,북가좌동,11410720,북가좌2동
영업,서울특별시 서대문구 창천동 13-68,서울특별시 서대문구 연세로2나길 20 (창천동),에이피엘(APL),여관업,194486.874446544,450524.438615488,126.93839332643272,37.55697627559215,950397.0811028732,1950995.635912932,POINT (950397.0811028733 1950995.635912932),서대문구,창천동,11410585,신촌동
영업,서울특별시 영등포구 당산동6가 237-60,서울특별시 영등포구 당산로46길 5-1 (당산동6가),당산 KS Stay,여관업,191361.067113715,447958.514567175,126.90304753460524,37.533833334170325,947258.8954111526,1948447.2809028763,POINT (947258.8954111526 1948447.2809028765),영등포구,당산동6가,11560560,당산2동
영업,서울특별시 중구 황학동 375-0번지,서울특별시 중구 퇴계로83길 22-16 (황학동),은성장여관,여관업,201640.033048425,451578.015850791,127.0193512803281,37.56648442007889,957552.9915785948,1952010.870993898,POINT (957552.9915785949 1952010.870993898),중구,황학동,11140670,황학동
영업,서울특별시 은평구 구산동 339-5,서울특별시 은평구 서오릉로 219 (구산동),샹브르 모텔,여관업,191922.154761573,456920.920994147,126.90929613975436,37.614588497626805,947867.2962172346,1957403.2222312,POINT (947867.2962172346 1957403.2222311997),은평구,구산동,11380560,구산동
영업,서울특별시 중구 장충동2가 202번지,서울특별시 중구 동호로 249 (장충동2가),호텔신라,관광호텔,200463.625303538,450497.460903907,127.00603503579146,37.556749996064376,956371.3248940968,1950936.984708124,POINT (956371.3248940968 1950936.9847081238),중구,장충동2가,11140580,장충동
영업,서울특별시 용산구 청파동3가 24-10,서울특별시 용산구 청파로45길 2-5 (청파동3가),한글게스트하우스,여관업,197299.211648622,449129.404589991,126.9702271277354,37.54441987286815,953200.9163396402,1949586.2444909264,POINT (953200.9163396402 1949586.2444909264),용산구,청파동3가,11170555,청파동
영업,서울특별시 용산구 서계동 228-6번지,서울특별시 용산구 만리재로36길 5 (서계동),계림모텔,여관업,197007.213811276,450212.919898977,126.96691849255136,37.5541813266622,952914.7768875534,1950670.8792390155,POINT (952914.7768875534 1950670.8792390155),용산구,서계동,11170555,청파동
영업,"서울특별시 서대문구 창천동 29-24 , 118","서울특별시 서대문구 연세로2나길 6 (창천동,, 118)",브라운도트(신촌점),일반호텔,194472.635016004,450455.634756393,126.93823269636748,37.55635627379547,950382.4825103706,1950926.9345371984,POINT (950382.4825103706 1950926.9345371986),서대문구,"창천동,, 118",11410585,신촌동
영업,서울특별시 중구 황학동 1014번지 9/5,"서울특별시 중구 퇴계로87길 42 (황학동,9/5)",우림여인숙,여인숙업,201793.660526862,451691.322648412,127.02109044338978,37.56750502575476,957707.1583777555,1952123.317855785,POINT (957707.1583777557 1952123.3178557851),중구,"황학동,9/5",11140670,황학동
영업,서울특별시 은평구 갈현동 390-5번지,서울특별시 은평구 갈현로 340-7 (갈현동),올래,여관업,192819.881511861,458199.900868457,126.91945129572196,37.62611934923466,948771.4627502622,1958676.93701644,POINT (948771.4627502622 1958676.9370164396),은평구,갈현동,11380551,갈현1동
영업,서울특별시 중구 장충동1가 31-7번지 지하2층~지상9층,"서울특별시 중구 장충단로 198 (장충동1가, 지하2층~지상9층)",봉우물산(주)써미트호텔,관광호텔,200538.850127418,451107.614340285,127.0068867826482,37.562247379501486,956449.7544408236,1951546.495962944,POINT (956449.7544408237 1951546.4959629439),중구,"장충동1가, 지하2층~지상9층",11140580,장충동
영업,서울특별시 중구 주교동 136-5 2~4층,"서울특별시 중구 창경궁로 67-6 (주교동,2~4층)",라이프인 청계,여관업,199715.857790432,451801.228345671,126.997571601845,37.5684968194392,955630.7676885724,1952244.19724368,POINT (955630.7676885725 1952244.19724368),중구,"주교동,2~4층",11140605,을지로동
영업,서울특별시 영등포구 대림동 990-17번지,서울특별시 영등포구 대림로 77 (대림동),티파니 모텔,여관업,191562.224404425,443007.167758628,126.90538065154,37.48922378834782,947433.7525158664,1943496.7948530144,POINT (947433.7525158664 1943496.7948530144),영등포구,대림동,11560710,대림2동
영업,서울특별시 중구 황학동 2504-0,서울특별시 중구 난계로11길 13 (황학동),크리스티,여관업,201933.988731333,451520.369730546,127.02267839203624,37.56596448573216,957846.5239585472,1951951.689315124,POINT (957846.5239585472 1951951.689315124),중구,황학동,11140670,황학동
영업,"서울특별시 중구 충무로1가 24-23 명동하늘빌딩 6,7,8,9,10층","서울특별시 중구 명동8나길 15 (충무로1가, 명동하늘빌딩 6,7,8,9,10층)",호텔스카이파크 명동1호점,일반호텔,198527.099319279,450998.07341201,126.98411746971468,37.56125926730751,954438.223096417,1951447.6644757693,POINT (954438.223096417 1951447.6644757693),중구,"충무로1가, 명동하늘빌딩 6,7,8,9,10층",11140550,명동
영업,"서울특별시 은평구 대조동 198-7번지 ,198-16",서울특별시 은평구 연서로 220-2 (대조동),레드모텔,여인숙업,192902.340060553,457295.284282349,126.92039423776836,37.61796958911324,948849.086338824,1957772.2361379296,POINT (948849.0863388241 1957772.2361379296),은평구,대조동,11380570,대조동
영업,서울특별시 은평구 대조동 15-52,서울특별시 은평구 통일로65길 6 (대조동),3에스(S)호텔(불광점),일반호텔,193767.08513543,456318.316110931,126.93019735504711,37.60917362240397,949708.3072637076,1956791.0600402511,POINT (949708.3072637076 1956791.0600402511),은평구,대조동,11380570,대조동
영업,서울특별시 영등포구 영등포동3가 2-15,서울특별시 영등포구 영중로10길 41 (영등포동3가),씨에프모텔,여관업,191965.704971408,446258.809320086,126.90990711172076,37.51852460488759,947854.2934618988,1946745.03409331,POINT (947854.2934618987 1946745.03409331),영등포구,영등포동3가,11560535,영등포동
영업,서울특별시 영등포구 당산동1가 85,,포켓서울 문래점,여관업,191141.65399723,446522.091108078,126.9005825418297,37.52088916168619,947031.9576671836,1947012.5783501207,POINT (947031.9576671836 1947012.5783501212),,,11560550,당산1동
영업,서울특별시 중구 황학동 2513,서울특별시 중구 퇴계로 449-17 (황학동),크리스티2,여관업,201914.067926656,451528.826422884,127.02245293308329,37.56604071975669,957826.6559690024,1951960.2482461007,POINT (957826.6559690023 1951960.2482461007),중구,황학동,11140670,황학동
