기준연월,자치구,숙박방문자수,평균 숙박일수,평균체류시간(시간),전국 평균체류시간(시간),연도,월,분기
202501,강남구,16289189.0,2.81,10.47,17.83,2025,01,Q1
202502,강남구,16820029.0,2.84,9.4,16.9,2025,02,Q1
202503,강남구,18089733.0,2.89,10.8,21.33,2025,03,Q1
202504,강남구,17302899.0,2.8,8.3,14.27,2025,04,Q2
202505,강남구,18267661.0,2.99,11.85,19.63,2025,05,Q2
202506,강남구,17885619.0,2.9,9.63,15.13,2025,06,Q2
202507,강남구,19589183.0,2.91,10.27,17.5,2025,07,Q3
202508,강남구,18079886.0,2.85,9.63,16.43,2025,08,Q3
202509,강남구,18725774.0,2.87,9.07,17.3,2025,09,Q3
202510,강남구,16819810.0,2.87,9.57,16.67,2025,10,Q4
202511,강남구,19511625.0,2.85,8.95,14.57,2025,11,Q4
202512,강남구,19553438.0,2.81,9.37,16.33,2025,12,Q4
202501,강동구,3727262.0,3.11,25.47,17.83,2025,01,Q1
202502,강동구,3670200.0,3.2,23.2,16.9,2025,02,Q1
202503,강동구,4360304.0,3.12,25.12,21.33,2025,03,Q1
202504,강동구,4005732.0,3.02,18.18,14.27,2025,04,Q2
202505,강동구,4667532.0,3.24,27.5,19.63,2025,05,Q2
202506,강동구,4277038.0,3.08,19.8,15.13,2025,06,Q2
202507,강동구,4364580.0,3.16,22.97,17.5,2025,07,Q3
202508,강동구,4288438.0,3.07,21.35,16.43,2025,08,Q3
202509,강동구,4193031.0,3.1,20.27,17.3,2025,09,Q3
202510,강동구,4260048.0,3.03,21.25,16.67,2025,10,Q4
202511,강동구,4330176.0,3.06,19.37,14.57,2025,11,Q4
202512,강동구,4318960.0,3.04,21.87,16.33,2025,12,Q4
202501,강북구,2396108.0,2.87,19.18,17.83,2025,01,Q1
202502,강북구,2184585.0,2.99,18.02,16.9,2025,02,Q1
202503,강북구,2712850.0,3.04,21.98,21.33,2025,03,Q1
202504,강북구,2446479.0,2.88,15.3,14.27,2025,04,Q2
202505,강북구,2827653.0,3.02,22.23,19.63,2025,05,Q2
202506,강북구,2569167.0,2.88,16.22,15.13,2025,06,Q2
202507,강북구,2726669.0,3.0,20.18,17.5,2025,07,Q3
202508,강북구,2636695.0,2.87,17.52,16.43,2025,08,Q3
202509,강북구,2571157.0,2.95,17.8,17.3,2025,09,Q3
202510,강북구,2769169.0,2.95,18.78,16.67,2025,10,Q4
202511,강북구,2627220.0,2.87,15.25,14.57,2025,11,Q4
202512,강북구,2578721.0,2.93,18.57,16.33,2025,12,Q4
202501,강서구,6067007.0,2.89,15.8,17.83,2025,01,Q1
202502,강서구,6003909.0,2.96,15.12,16.9,2025,02,Q1
202503,강서구,6921964.0,2.94,16.88,21.33,2025,03,Q1
202504,강서구,6233363.0,2.88,13.52,14.27,2025,04,Q2
202505,강서구,7566845.0,3.07,18.53,19.63,2025,05,Q2
202506,강서구,7199023.0,2.93,13.58,15.13,2025,06,Q2
202507,강서구,7606544.0,2.98,15.27,17.5,2025,07,Q3
202508,강서구,7459213.0,2.89,13.72,16.43,2025,08,Q3
202509,강서구,7507168.0,2.93,13.23,17.3,2025,09,Q3
202510,강서구,7549042.0,2.89,13.73,16.67,2025,10,Q4
202511,강서구,7912640.0,2.9,12.72,14.57,2025,11,Q4
202512,강서구,7930929.0,2.87,13.23,16.33,2025,12,Q4
202501,관악구,4413088.0,2.84,21.25,17.83,2025,01,Q1
202502,관악구,4287826.0,2.96,21.55,16.9,2025,02,Q1
202503,관악구,5371222.0,3.04,27.85,21.33,2025,03,Q1
202504,관악구,4622726.0,2.83,16.87,14.27,2025,04,Q2
202505,관악구,5397041.0,3.06,25.4,19.63,2025,05,Q2
202506,관악구,4929215.0,2.91,18.95,15.13,2025,06,Q2
202507,관악구,5222619.0,2.98,20.65,17.5,2025,07,Q3
202508,관악구,5042130.0,2.91,20.47,16.43,2025,08,Q3
202509,관악구,5260119.0,3.01,21.95,17.3,2025,09,Q3
202510,관악구,4936688.0,2.87,19.05,16.67,2025,10,Q4
202511,관악구,5284706.0,2.87,17.93,14.57,2025,11,Q4
202512,관악구,5199523.0,2.83,18.88,16.33,2025,12,Q4
202501,광진구,4864107.0,2.83,13.15,17.83,2025,01,Q1
202502,광진구,4900418.0,2.91,13.02,16.9,2025,02,Q1
202503,광진구,6191307.0,3.03,17.98,21.33,2025,03,Q1
202504,광진구,5460535.0,2.81,10.28,14.27,2025,04,Q2
202505,광진구,6446897.0,3.07,17.15,19.63,2025,05,Q2
202506,광진구,5704112.0,2.85,11.42,15.13,2025,06,Q2
202507,광진구,5701497.0,2.92,13.77,17.5,2025,07,Q3
202508,광진구,5735960.0,2.87,12.73,16.43,2025,08,Q3
202509,광진구,6265506.0,2.98,14.2,17.3,2025,09,Q3
202510,광진구,5928850.0,2.85,11.87,16.67,2025,10,Q4
202511,광진구,6124247.0,2.87,11.4,14.57,2025,11,Q4
202512,광진구,5925520.0,2.78,11.92,16.33,2025,12,Q4
202501,구로구,4909550.0,2.93,14.78,17.83,2025,01,Q1
202502,구로구,4695798.0,3.02,13.33,16.9,2025,02,Q1
202503,구로구,5712022.0,3.04,16.35,21.33,2025,03,Q1
202504,구로구,4989152.0,2.94,12.2,14.27,2025,04,Q2
202505,구로구,5798170.0,3.13,17.8,19.63,2025,05,Q2
202506,구로구,5442306.0,3.01,12.88,15.13,2025,06,Q2
202507,구로구,5437673.0,3.04,14.43,17.5,2025,07,Q3
202508,구로구,5420996.0,2.98,13.93,16.43,2025,08,Q3
202509,구로구,5457893.0,3.03,13.45,17.3,2025,09,Q3
202510,구로구,5217765.0,2.94,14.15,16.67,2025,10,Q4
202511,구로구,5608011.0,2.94,12.1,14.57,2025,11,Q4
202512,구로구,5598952.0,2.92,13.45,16.33,2025,12,Q4
202501,금천구,1985796.0,2.92,19.88,17.83,2025,01,Q1
202502,금천구,2040083.0,3.0,17.73,16.9,2025,02,Q1
202503,금천구,2234392.0,2.96,19.95,21.33,2025,03,Q1
202504,금천구,2122518.0,2.91,15.65,14.27,2025,04,Q2
202505,금천구,2419662.0,3.1,23.35,19.63,2025,05,Q2
202506,금천구,2248021.0,2.95,17.47,15.13,2025,06,Q2
202507,금천구,2388696.0,3.03,19.0,17.5,2025,07,Q3
202508,금천구,2150787.0,2.92,18.12,16.43,2025,08,Q3
202509,금천구,2286189.0,2.96,17.13,17.3,2025,09,Q3
202510,금천구,2334348.0,2.93,18.62,16.67,2025,10,Q4
202511,금천구,2422234.0,2.93,15.8,14.57,2025,11,Q4
202512,금천구,2306090.0,2.91,17.78,16.33,2025,12,Q4
202501,노원구,4191917.0,2.99,16.92,17.83,2025,01,Q1
202502,노원구,3895645.0,3.18,16.78,16.9,2025,02,Q1
202503,노원구,4994657.0,3.22,21.67,21.33,2025,03,Q1
202504,노원구,4283365.0,3.05,13.77,14.27,2025,04,Q2
202505,노원구,4933490.0,3.25,21.68,19.63,2025,05,Q2
202506,노원구,4518629.0,3.1,15.13,15.13,2025,06,Q2
