년,월,역사명,환승역구분,04시-05시 승하차인원,05시-06시 승하차인원,06시-07시 승하차인원,07시-08시 승하차인원,08시-09시 승하차인원,09시-10시 승하차인원,10시-11시 승하차인원,11시-12시 승하차인원,12시-13시 승하차인원,13시-14시 승하차인원,14시-15시 승하차인원,15시-16시 승하차인원,16시-17시 승하차인원,17시-18시 승하차인원,18시-19시 승하차인원,19시-20시 승하차인원,20시-21시 승하차인원,21시-22시 승하차인원,23시-24시 승하차인원,00시-01시 승하차인원,01시-02시 승하차인원,02시-03시 승하차인원,03시-04시 승하차인원,Y좌표 (WGS84),X좌표 (WGS84),X좌표 (GRS80TM),Y좌표 (GRS80TM),geometry
2025,1,4.19민주묘지,일반역,5,1593,3373,8378,13106,9890,8593,9418,10898,10612,10272,10698,10767,10383,10681,8769,5869,4716,2517,678,4,1,0,37.64954,127.01371,957102.5243733915,1961228.0940842964,POINT (957102.5243733915 1961228.0940842964)
2025,1,가능역,일반역,358,7795,12600,25473,28145,16970,16421,17126,18174,18151,15603,18039,19811,23267,25255,21803,15143,11024,5593,2066,0,0,0,37.748362,127.044251,959850.0082811359,1972178.5976392387,POINT (959850.0082811359 1972178.5976392387)
2025,1,가락시장,환승역,237,8656,23620,51560,92993,53754,46503,49303,50052,53573,55566,60637,63780,78149,99633,58234,42625,37819,16595,4595,555,0,0,37.492318,127.1177,966204.9475942984,1943742.685595979,POINT (966204.9475942984 1943742.685595979)
2025,1,가산디지털단지,환승역,1279,17709,51500,207180,501670,283524,100144,80759,89357,97040,99639,112652,144461,311691,419812,188450,111318,88259,29032,4989,13,0,0,37.480376,126.882704,945422.6081266935,1942528.0895484856,POINT (945422.6081266935 1942528.0895484856)
2025,1,가양,일반역,87,15305,33084,89842,120044,68060,49499,50454,54098,54941,54814,60670,67725,83740,115988,78976,52140,44107,20622,5603,228,3,0,37.561111,126.855078,943041.474068909,1951501.5949794117,POINT (943041.474068909 1951501.5949794117)
2025,1,가오리,일반역,2,2575,6294,15469,19939,14559,12368,12479,12915,13675,12471,14056,15028,15177,17122,14356,9015,7582,3529,1057,10,2,0,37.64162,127.01681,957371.4626228614,1960347.985374767,POINT (957371.4626228614 1960347.985374767)
2025,1,가좌역,일반역,11,3094,9105,20778,31777,17759,13967,14736,15992,15893,15290,16397,18994,22851,26938,19170,12487,9672,5223,548,25,0,0,37.568611,126.914841,948324.8820985131,1952299.1441089737,POINT (948324.8820985131 1952299.1441089737)
2025,1,가천대역,일반역,27,4779,8988,19485,35188,24817,16798,15592,17324,19965,17196,20019,25131,26943,30972,22903,16376,16874,10755,1046,17,0,0,37.448784,127.126677,966979.3662475476,1938909.720828672,POINT (966979.3662475476 1938909.720828672)
2025,1,가평역,일반역,1,756,1950,4446,7572,6031,7485,8454,7908,7726,7864,7873,7068,8194,6809,5354,3728,2261,1411,381,0,0,0,37.814515,127.510693,1000941.1765195474,1979420.4328620317,POINT (1000941.1765195474 1979420.4328620317)
2025,1,간석역,일반역,268,5967,12078,19862,22196,14318,13832,13914,15604,16064,15632,16087,18308,20698,24499,18831,13136,10340,5706,1811,7,0,0,37.464689,126.693408,928671.0954612234,1940914.2465521134,POINT (928671.0954612234 1940914.2465521134)
2025,1,갈매역,일반역,4,2037,4418,13833,11980,7411,6733,4944,5477,6163,5481,7239,6895,8981,12969,8534,5379,4649,2381,435,0,0,0,37.634135,127.114803,966013.3407516405,1959477.5433543709,POINT (966013.3407516405 1959477.5433543709)
2025,1,강남,환승역,192,17611,64800,169382,326732,343626,197951,169805,186675,219256,218815,236238,265984,364783,458170,299184,209785,214960,94284,16817,65,0,0,37.49805,127.02795,958274.257106611,1944414.617740294,POINT (958274.257106611 1944414.617740294)
2025,1,강남구청,환승역,36,4941,24604,57769,154138,137288,71530,54639,55695,61223,63221,67014,74614,107156,153930,91486,56721,51083,17324,3617,13,0,0,37.517185,127.04122,959457.5841158917,1946531.725492398,POINT (959457.5841158917 1946531.725492398)
2025,1,강동,일반역,108,11026,28083,69228,106866,59862,43538,42834,45610,49532,48361,51414,57232,72390,94487,59399,41269,37313,17920,6355,28,0,0,37.53581,127.13249,967531.2253576679,1948562.6333189053,POINT (967531.2253576679 1948562.6333189053)
2025,1,강동구청,일반역,28,5676,15018,38252,64616,35138,27365,24576,25758,28824,27861,30764,33784,41816,57725,35144,24131,20476,8976,2395,14,0,0,37.530348,127.120461,966466.0377385821,1947960.8788988332,POINT (966466.0377385821 1947960.8788988332)
2025,1,강매역,일반역,0,2074,6600,16216,17164,8293,6435,5901,6117,5921,5698,6443,7490,8864,13562,10314,6842,6070,3064,1016,2,0,0,37.612396,126.844537,942150.2040391938,1957197.9090317944,POINT (942150.2040391938 1957197.9090317944)
2025,1,강변(동서울터미널),일반역,20,9163,36698,74542,120877,97499,87480,81932,83946,85343,86126,94832,99583,112941,132513,93653,68609,55126,21513,4608,21,0,0,37.535161,127.094684,964190.8165949243,1948504.3551141364,POINT (964190.8165949243 1948504.3551141364)
2025,1,강일,일반역,0,3064,10123,27595,27745,17134,14584,13005,15019,14462,14704,16778,17213,21265,25943,20877,12999,11334,6555,1833,21,0,0,37.557521,127.176018,971385.1489313104,1950957.199478635,POINT (971385.1489313104 1950957.199478635)
2025,1,강촌역,일반역,6,145,394,561,1351,1464,1639,2610,1752,1428,1941,1871,1849,1607,1347,764,544,606,466,66,0,0,0,37.805728,127.634054,1011800.5665691382,1978453.9367954032,POINT (1011800.5665691382 1978453.9367954032)
2025,1,개롱,일반역,4,4038,10042,24563,34254,20037,16047,16108,17786,18329,18017,18313,22887,26350,31689,24125,14675,12355,6064,1557,3,0,0,37.498097,127.134817,967720.5713082982,1944377.8183655378,POINT (967720.5713082982 1944377.8183655378)
2025,1,개봉역,일반역,1096,19658,42608,86200,89850,61565,49352,51255,56102,56656,54883,62072,71382,84385,102711,77614,52262,45357,20278,1446,0,0,0,37.494698,126.858504,943293.8021730053,1944131.335272816,POINT (943293.8021730053 1944131.335272816)
2025,1,개포동역,일반역,3,1428,6504,14323,19304,13641,11801,10839,12256,12145,12274,13590,15075,17886,20583,15065,10311,9640,4424,122,1,0,0,37.489112,127.066027,961635.4293459235,1943406.8064291256,POINT (961635.4293459235 1943406.8064291256)
2025,1,개화,일반역,10,2350,8287,14719,12584,5617,4081,3955,3872,3974,4396,4722,5871,8684,9902,6642,3709,3169,1403,475,48,1,0,37.578611,126.798333,938044.2782779207,1953479.0555046464,POINT (938044.2782779207 1953479.0555046464)
2025,1,개화산,일반역,0,4427,11612,24649,34371,17537,14011,14311,16052,15235,14796,15858,18475,23131,30116,20636,12880,12164,5493,1698,80,0,0,37.572458,126.806838,938790.224991624,1952790.8287688673,POINT (938790.224991624 1952790.8287688673)
2025,1,거여,일반역,10,6357,17597,42994,52686,29849,22403,22087,22991,25465,22711,25399,31282,36164,48995,36959,20984,18384,9158,2890,1,0,0,37.493208,127.143983,968528.7279515759,1943832.3133632632,POINT (968528.7279515759 1943832.3133632632)
2025,1,건대입구,환승역,348,20783,45018,92957,171943,141524,108570,114948,131389,146644,152053,167344,191798,237738,286471,203112,163221,156070,86971,20635,1104,0,0,37.540408,127.069231,961944.7304597475,1949096.4755224376,POINT (961944.7304597475 1949096.4755224376)
2025,1,검암,환승역,1444,8634,14063,34780,34453,15147,11757,12068,12646,12323,12045,13065,17469,20540,32787,24981,15578,13371,9898,4598,32,0,0,37.56915547,126.6735357,927015.5280348624,1952519.6156210408,POINT (927015.5280348624 1952519.6156210408)
2025,1,경복궁(정부서울청사),일반역,34,3503,17217,42034,127893,79730,63476,72284,78943,89769,94850,103705,109213,121034,133348,61525,45994,41493,12073,2196,27,0,0,37.575844,126.973576,953516.2782926572,1953070.932288911,POINT (953516.2782926572 1953070.932288911)
2025,1,경찰병원,일반역,4,3074,10027,28525,47752,27701,19703,17046,17625,19581,18850,20113,19736,29320,38663,23010,15116,13014,5557,1447,12,7,0,37.495754,127.124198,966780.8903153058,1944121.5732353157,POINT (966780.8903153058 1944121.5732353157)
