year_month,년,월,분기,역사명,환승역구분,승차총승객수,하차총승객수,총승하차승객수,Y좌표 (WGS84),X좌표 (WGS84),X좌표 (GRS80TM),Y좌표 (GRS80TM),geometry
2025-01,2025,1,Q1,4.19민주묘지,일반역,80652,74425,155077,37.64954,127.01371,957102.5243733915,1961228.0940842964,POINT (957102.5243733915 1961228.0940842964)
2025-01,2025,1,Q1,가능역,일반역,167728,160932,328660,37.748362,127.044251,959850.0082811359,1972178.5976392387,POINT (959850.0082811359 1972178.5976392387)
2025-01,2025,1,Q1,가락시장,환승역,480000,500540,980540,37.492318,127.1177,966204.9475942984,1943742.685595979,POINT (966204.9475942984 1943742.685595979)
2025-01,2025,1,Q1,가산디지털단지,환승역,1477825,1521317,2999142,37.480376,126.882704,945422.6081266935,1942528.0895484856,POINT (945422.6081266935 1942528.0895484856)
2025-01,2025,1,Q1,가양,일반역,583159,574129,1157288,37.561111,126.855078,943041.474068909,1951501.5949794117,POINT (943041.474068909 1951501.5949794117)
2025-01,2025,1,Q1,가오리,일반역,113678,112164,225842,37.64162,127.01681,957371.4626228614,1960347.985374767,POINT (957371.4626228614 1960347.985374767)
2025-01,2025,1,Q1,가좌역,일반역,150610,147378,297988,37.568611,126.914841,948324.8820985131,1952299.1441089737,POINT (948324.8820985131 1952299.1441089737)
2025-01,2025,1,Q1,가천대역,일반역,180105,186811,366916,37.448784,127.126677,966979.3662475476,1938909.720828672,POINT (966979.3662475476 1938909.720828672)
2025-01,2025,1,Q1,가평역,일반역,53099,52231,105330,37.814515,127.510693,1000941.1765195474,1979420.4328620317,POINT (1000941.1765195474 1979420.4328620317)
2025-01,2025,1,Q1,간석역,일반역,147340,140759,288099,37.464689,126.693408,928671.0954612234,1940914.2465521134,POINT (928671.0954612234 1940914.2465521134)
2025-01,2025,1,Q1,갈매역,일반역,68783,60912,129695,37.634135,127.114803,966013.3407516405,1959477.5433543709,POINT (966013.3407516405 1959477.5433543709)
2025-01,2025,1,Q1,강남,환승역,2153763,2110793,4264556,37.49805,127.02795,958274.257106611,1944414.617740294,POINT (958274.257106611 1944414.617740294)
2025-01,2025,1,Q1,강남구청,환승역,633271,711872,1345143,37.517185,127.04122,959457.5841158917,1946531.725492398,POINT (959457.5841158917 1946531.725492398)
2025-01,2025,1,Q1,강동,일반역,493907,479661,973568,37.53581,127.13249,967531.2253576679,1948562.6333189053,POINT (967531.2253576679 1948562.6333189053)
2025-01,2025,1,Q1,강동구청,일반역,278557,286253,564810,37.530348,127.120461,966466.0377385821,1947960.8788988332,POINT (966466.0377385821 1947960.8788988332)
2025-01,2025,1,Q1,강매역,일반역,80354,68984,149338,37.612396,126.844537,942150.2040391938,1957197.9090317944,POINT (942150.2040391938 1957197.9090317944)
2025-01,2025,1,Q1,강변(동서울터미널),일반역,770276,720714,1490990,37.535161,127.094684,964190.8165949243,1948504.3551141364,POINT (964190.8165949243 1948504.3551141364)
2025-01,2025,1,Q1,강일,일반역,157299,145356,302655,37.557521,127.176018,971385.1489313104,1950957.199478635,POINT (971385.1489313104 1950957.199478635)
2025-01,2025,1,Q1,강촌역,일반역,11627,11275,22902,37.805728,127.634054,1011800.5665691382,1978453.9367954032,POINT (1011800.5665691382 1978453.9367954032)
2025-01,2025,1,Q1,개롱,일반역,170955,178315,349270,37.498097,127.134817,967720.5713082982,1944377.8183655378,POINT (967720.5713082982 1944377.8183655378)
2025-01,2025,1,Q1,개봉역,일반역,562378,560984,1123362,37.494698,126.858504,943293.8021730053,1944131.335272816,POINT (943293.8021730053 1944131.335272816)
2025-01,2025,1,Q1,개포동역,일반역,113279,116511,229790,37.489112,127.066027,961635.4293459235,1943406.8064291256,POINT (961635.4293459235 1943406.8064291256)
2025-01,2025,1,Q1,개화,일반역,65556,45237,110793,37.578611,126.798333,938044.2782779207,1953479.0555046464,POINT (938044.2782779207 1953479.0555046464)
2025-01,2025,1,Q1,개화산,일반역,162184,155694,317878,37.572458,126.806838,938790.224991624,1952790.8287688673,POINT (938790.224991624 1952790.8287688673)
2025-01,2025,1,Q1,거여,일반역,261191,252451,513642,37.493208,127.143983,968528.7279515759,1943832.3133632632,POINT (968528.7279515759 1943832.3133632632)
2025-01,2025,1,Q1,건대입구,환승역,1358913,1427624,2786537,37.540408,127.069231,961944.7304597475,1949096.4755224376,POINT (961944.7304597475 1949096.4755224376)
2025-01,2025,1,Q1,검암,환승역,166988,167645,334633,37.56915547,126.6735357,927015.5280348624,1952519.6156210408,POINT (927015.5280348624 1952519.6156210408)
2025-01,2025,1,Q1,경복궁(정부서울청사),일반역,650184,679450,1329634,37.575844,126.973576,953516.2782926572,1953070.932288911,POINT (953516.2782926572 1953070.932288911)
2025-01,2025,1,Q1,경찰병원,일반역,192793,194353,387146,37.495754,127.124198,966780.8903153058,1944121.5732353157,POINT (966780.8903153058 1944121.5732353157)
2025-01,2025,1,Q1,계양,환승역,344731,328606,673337,37.57160721,126.736023,932536.0366957842,1952744.9264885292,POINT (932536.0366957842 1952744.9264885292)
2025-01,2025,1,Q1,고덕,일반역,264443,259118,523561,37.555002,127.154214,969458.3344946295,1950684.5921660517,POINT (969458.3344946295 1950684.5921660517)
2025-01,2025,1,Q1,고려대(종암),일반역,208922,199766,408688,37.59034,127.03626,959059.3056998377,1954650.0265733027,POINT (959059.3056998377 1954650.0265733027)
2025-01,2025,1,Q1,고속터미널,환승역,2360777,2368355,4729132,37.504953,127.004916,956242.2369752744,1945190.9231607118,POINT (956242.2369752744 1945190.9231607118)
2025-01,2025,1,Q1,곡산역,환승역,14794,15168,29962,37.645729,126.801877,938412.5881392695,1960923.256663994,POINT (938412.5881392695 1960923.256663994)
2025-01,2025,1,Q1,공덕,환승역,1069445,1066437,2135882,37.544005,126.951058,951507.2716878421,1949549.9306792212,POINT (951507.2716878421 1949549.9306792212)
2025-01,2025,1,Q1,공릉(서울과학기술대),일반역,319239,316398,635637,37.625642,127.072969,962317.9432771656,1958551.2556369859,POINT (962317.9432771656 1958551.2556369859)
2025-01,2025,1,Q1,공항시장,일반역,82415,88569,170984,37.563611,126.810278,939086.7941066122,1951807.0539922772,POINT (939086.7941066122 1951807.0539922772)
2025-01,2025,1,Q1,공항화물청사,일반역,51906,60413,112319,37.45902611,126.4774333,909564.6270253193,1940471.4325340868,POINT (909564.6270253193 1940471.4325340868)
2025-01,2025,1,Q1,관악산,일반역,74251,71752,146003,37.46916896,126.944954837,950919.151024725,1941250.476930478,POINT (950919.151024725 1941250.476930478)
2025-01,2025,1,Q1,관악역,일반역,185209,179048,364257,37.419578,126.908476,947658.8807987297,1935768.3346283443,POINT (947658.8807987297 1935768.3346283443)
2025-01,2025,1,Q1,광나루(장신대),일반역,302465,289278,591743,37.545301,127.103478,964972.5031594856,1949626.015933655,POINT (964972.5031594856 1949626.015933655)
