역번호,역사명,노선번호,노선명,환승역구분,역사도로명주소,X좌표(WGS84),Y좌표(WGS84),X좌표(GRS80TM),Y좌표(GRS80TM)
0124,청량리(서울시립대입구),I4101,1호선,환승역,서울특별시 동대문구 왕산로 지하205(전농동),127.045063,37.580148,959830.9952074286,1953515.4728166435
0125,제기동,I4101,1호선,일반역,서울특별시 동대문구 왕산로 지하93(제기동),127.034902,37.578116,958932.700953394,1953294.4255827009
0126,신설동,I4101,1호선,환승역,서울특별시 동대문구 왕산로 지하1(신설동),127.02471,37.576117,958031.6388365318,1953077.150333896
0127,동묘앞,I4101,1호선,환승역,서울특별시 종로구 종로 359(숭인동),127.016459,37.573265,957301.438278906,1952764.4526539417
0128,동대문,I4101,1호선,환승역,서울특별시 종로구 종로 지하302(창신동),127.01069,37.571646,956791.074442657,1952587.4698972397
0129,종로5가,I4101,1호선,일반역,서울특별시 종로구 종로 지하216(종로5가),127.0019,37.570971,956014.4641994928,1952516.6603829376
0130,종로3가,I4101,1호선,환승역,서울특별시 종로구 종로 지하129(종로3가),126.992095,37.570429,955148.2867766198,1952461.163139144
0131,종각,I4101,1호선,일반역,서울특별시 종로구 종로 지하55(종로1가),126.983116,37.570203,954355.2321871056,1952440.413312612
0132,시청,I4101,1호선,환승역,서울특별시 중구 세종대로 지하101(정동),126.977207,37.565211,953830.3378695836,1951889.462075488
0133,서울역,I4101,1호선,환승역,서울특별시 중구 세종대로 지하2(남대문로 5가),126.972103,37.55585,953373.749358256,1950853.425694316
0201,시청,S1102,2호선,환승역,서울특별시 중구 서소문로 지하127(서소문동),126.975271,37.563534,953658.3229229094,1951704.360111684
0202,을지로입구,S1102,2호선,일반역,서울특별시 중구 을지로 지하42(을지로1가),126.982569,37.565998,954304.3587816654,1951974.155031672
0203,을지로3가,S1102,2호선,환승역,서울특별시 중구 을지로 지하106(을지로3가),126.990873,37.566292,955037.8877970072,1952002.7673980235
0204,을지로4가,S1102,2호선,환승역,서울특별시 중구 을지로 지하178(을지로4가),126.997622,37.566611,955634.0998449174,1952034.9511738536
0205,동대문역사문화공원(DDP),S1102,2호선,환승역,서울특별시 중구 을지로 지하279(을지로7가),127.009083,37.565609,956645.6670335364,1951918.4351895845
0206,신당,S1102,2호선,환승역,서울특별시 중구 퇴계로 지하431-1(신당동),127.0194259,37.565675,957559.122196659,1951921.0362633383
0207,상왕십리,S1102,2호선,일반역,서울특별시 성동구 왕십리로 지하374(하왕십리동),127.029322,37.564444,958432.3963207684,1951780.0399452955
0208,왕십리(성동구청),S1102,2호선,환승역,서울특별시 성동구 왕십리로 지하300(행당동),127.0370615,37.561289,959114.184641554,1951426.6140921265
0209,한양대,S1102,2호선,일반역,서울특별시 성동구 왕십리로 206(행당동),127.0436594,37.555758,959693.9221033666,1950810.1293984829
0210,뚝섬,S1102,2호선,일반역,서울특별시 성동구 아차산로 18(성수동1가),127.047413,37.54718,960020.8771363966,1949856.8444581928
0211,성수,S1102,2호선,일반역,서울특별시 성동구 아차산로 100(성수동2가),127.055983,37.544628,960776.5721019368,1949570.104612468
0212,건대입구,S1102,2호선,환승역,서울특별시 광진구 아차산로 243(화양동),127.069231,37.540408,961944.7304597476,1949096.4755224376
0213,구의(광진구청),S1102,2호선,일반역,서울특별시 광진구 아차산로 384-1(구의동),127.0862124,37.537157,963443.3319101708,1948729.0590267892
0214,강변(동서울터미널),S1102,2호선,일반역,서울특별시 광진구 강변역로 53(구의동),127.094684,37.535161,964190.8165949244,1948504.3551141364
0215,잠실나루,S1102,2호선,일반역,서울특별시 송파구 오금로 20(신천동),127.103836,37.520688,964992.6251598712,1946895.2190861388
0216,잠실(송파구청),S1102,2호선,환승역,서울특별시 송파구 올림픽로 지하265(신천동),127.100129,37.513305,964661.5701084968,1946077.507941468
0217,잠실새내,S1102,2호선,일반역,서울특별시 송파구 올림픽로 지하140(잠실동),127.086224,37.511653,963431.9101567932,1945899.5424250225
0218,종합운동장,S1102,2호선,환승역,서울특별시 송파구 올림픽로 지하23(잠실동),127.073841,37.511128,962337.2745084496,1945846.181593679
0219,삼성(무역센터),S1102,2호선,일반역,서울특별시 강남구 테헤란로 지하538(삼성동),127.063203,37.508827,961395.9284661382,1945595.21145871
0220,선릉,S1102,2호선,환승역,서울특별시 강남구 테헤란로 지하340(삼성동),127.048974,37.504477,960136.0512203472,1945118.5391412848
0221,역삼,S1102,2호선,일반역,서울특별시 강남구 테헤란로 지하156(역삼동),127.03643,37.500658,959025.2560843565,1944700.2329723183
0222,강남,S1102,2호선,환승역,서울특별시 강남구 강남대로 지하396(역삼동),127.02795,37.49805,958274.257106611,1944414.617740294
0223,교대(법원·검찰청),S1102,2호선,환승역,서울특별시 서초구 서초대로 지하294(서초동),127.014431,37.493957,957076.927150371,1943966.604679916
0224,서초,S1102,2호선,일반역,서울특별시 서초구 서초대로 지하233(서초동),127.007685,37.49191,956479.4062199496,1943742.6007444384
0225,방배,S1102,2호선,일반역,서울특별시 서초구 방배로 지하80(방배동),126.997627,37.481469,955584.0929586632,1942588.9372027544
0226,사당,S1102,2호선,환승역,서울특별시 동작구 남부순환로 지하2089(사당동),126.981631,37.476536,954166.828422214,1942049.31917179
0227,낙성대(강감찬),S1102,2호선,일반역,서울특별시 관악구 남부순환로 지하1928(봉천동),126.963583,37.47713,952571.4229974636,1942124.1570280916
0228,서울대입구(관악구청),S1102,2호선,일반역,서울특별시 관악구 남부순환로 지하1822(봉천동),126.952745,37.481233,951615.7936510493,1942584.872558793
0229,봉천,S1102,2호선,일반역,서울특별시 관악구 남부순환로 지하1721(봉천동),126.941696,37.482416,950639.6936831168,1942721.8540851253
0230,신림,S1102,2호선,일반역,서울특별시 관악구 남부순환로 지하1614(신림동),126.929573,37.484216,949569.0858648156,1942927.977471471
0231,신대방,S1102,2호선,일반역,서울특별시 동작구 대림로 2(신대방동),126.913479,37.487604,948148.5593293508,1943312.5978278755
0232,구로디지털단지,S1102,2호선,일반역,서울특별시 구로구 도림천로 477(구로동),126.901456,37.4852931,947084.0249317432,1943062.907369492
0233,대림(구로구청),S1102,2호선,환승역,서울특별시 구로구 도림천로 351(구로동),126.8949793,37.4932826,946517.12517784,1943952.9549548288
0234,신도림,S1102,2호선,환승역,서울특별시 구로구 새말로 지하 117-21(신도림동),126.891222,37.508815,946196.1294212438,1945678.3276716813
0235,문래,S1102,2호선,일반역,서울특별시 영등포구 당산로 지하28(문래동3가),126.894766,37.517993,946515.901742083,1946694.5558159684
0236,영등포구청,S1102,2호선,환승역,서울특별시 영등포구 당산로 지하121(당산동3가),126.896627,37.525766,946685.8900102132,1947555.8722485788
0237,당산,S1102,2호선,환승역,서울특별시 영등포구 당산로 229(당산동6가),126.902611,37.534807,947221.0131604325,1948555.5490292504
0238,합정,S1102,2호선,환승역,서울특별시 마포구 양화로 지하55(서교동),126.914557,37.550025,948286.9578445771,1950237.2716897617
0239,홍대입구,S1102,2호선,환승역,서울특별시 마포구 양화로 지하160(동교동),126.923643,37.556748,949094.1179820657,1950978.196258571
0240,신촌(지하),S1102,2호선,일반역,서울특별시 마포구 신촌로 지하90(노고산동),126.93689,37.555153,950263.089498574,1950794.1468528488
0241,이대,S1102,2호선,일반역,서울특별시 마포구 신촌로 지하180(염리동),126.945897,37.556734,951059.6767792084,1950964.8231776564
0242,아현,S1102,2호선,일반역,서울특별시 마포구 신촌로 지하270(아현동),126.956079,37.557407,951959.425935813,1951034.2363532488
0243,충정로(경기대입구),S1102,2호선,환승역,서울특별시 서대문구 서소문로 지하17(충정로3가),126.964455,37.559742,952700.6986147432,1951289.0448293868
2111,용답,S1121,2호선,일반역,서울특별시 성동구 용답길 86(용답동),127.05087863,37.562066,960334.9048367764,1951506.8970279524
2112,신답,S1121,2호선,일반역,서울특별시 성동구 천호대로 232(용답동),127.047048,37.569847,960000.7537182604,1952371.7819691116
2113,용두(동대문구청),S1121,2호선,일반역,서울특별시 동대문구 천호대로 지하129(용두동),127.03811,37.574012,959213.7246526512,1952837.7098172656
2114,신설동,S1121,2호선,일반역,서울특별시 동대문구 왕산로 지하 1(신설동),127.025158,37.574653,958070.3768370568,1952914.526758671
2341,도림천,S1122,2호선,일반역,서울특별시 구로구 경인로67길 160(신도림동),126.882586,37.5145589,945437.0527086192,1946320.5551487808
2342,양천구청,S1122,2호선,일반역,서울특별시 양천구 목동로3길 지하33(신정동),126.865593,37.5123294,943933.640616602,1946083.1946603644
2343,신정네거리,S1122,2호선,일반역,서울특별시 양천구 중앙로 지하261(신정동),126.852849,37.520218,942813.3846403724,1946966.0641633
0319,지축,I1103,3호선,일반역,경기도 고양시 덕양구 삼송로 300(지축동),126.913751,37.648151,948283.7284973525,1961124.4033047876
0320,구파발,I1103,3호선,일반역,서울특별시 은평구 진관2로 지하15-25 (진관동),126.918827,37.636612,948723.5834779644,1959841.401748012
0321,연신내,I1103,3호선,환승역,서울특별시 은평구 통일로 지하849(갈현동),126.920959,37.619295,948899.8348851276,1957918.9779995151
0322,불광,I1103,3호선,환승역,서울특별시 은평구 통일로 지하723-1(대조동),126.930183,37.610154,949707.7004314236,1956899.8368225584
0323,녹번,I1103,3호선,일반역,서울특별시 은평구 통일로 지하602-1(녹번동),126.935758,37.600882,950193.5745007632,1955868.173378589
0324,홍제,I1103,3호선,일반역,서울특별시 서대문구 통일로 지하440-1(홍제동),126.944092,37.588851,950921.3331351083,1954528.996833168
0325,무악재,I1103,3호선,일반역,서울특별시 서대문구 통일로 지하361(홍제동),126.950131,37.582658,951450.4719679068,1953838.772453035
0326,독립문,I1103,3호선,일반역,서울특별시 서대문구 통일로 지하247(현저동),126.957902,37.574534,952131.4006222052,1952933.4641144508
0327,경복궁(정부서울청사),I1103,3호선,일반역,서울특별시 종로구 사직로 지하130(적선동),126.973576,37.575844,953516.2782926572,1953070.932288911
0328,안국,I1103,3호선,일반역,서울특별시 종로구 율곡로 지하62(안국동),126.98547,37.576562,954566.9730346312,1953144.772850672
0329,종로3가,I1103,3호선,환승역,서울특별시 종로구 돈화문로 지하30(묘동),126.991837,37.571537,955126.168135734,1952584.213500978
0330,을지로3가,I1103,3호선,환승역,서울특별시 중구 을지로 지하129(을지로3가),126.992616,37.566299,955191.8211541704,1952002.7114962807
0331,충무로,I1103,3호선,환승역,서울특별시 중구 퇴계로 지하214(필동2가),126.994173,37.561382,955326.3879883436,1951456.4538389056
0332,동대입구,I1103,3호선,일반역,서울특별시 중구 동호로 지하256(장충동2가),127.005273,37.55906,956305.3677911554,1951193.621627456
0333,약수,I1103,3호선,환승역,서울특별시 중구 다산로 지하122(신당동),127.010858,37.554554,956796.0404680108,1950691.1227865173
0334,금호,I1103,3호선,일반역,서울특별시 성동구 동호로 지하104(금호동4가),127.015785,37.548269,957227.633771583,1949991.5825828623
0335,옥수,I1103,3호선,환승역,서울특별시 성동구 동호로 21(옥수동),127.017303,37.541653,957357.9563476444,1949256.884137731
0336,압구정,I1103,3호선,일반역,서울특별시 강남구 압구정로 지하172(신사동),127.028502,37.526169,958338.6829345328,1947534.0033045376
0337,신사,I1103,3호선,일반역,서울특별시 강남구 도산대로 지하102(신사동),127.020247,37.516438,957603.7651922586,1946458.0950235503
0338,잠원,I1103,3호선,일반역,서울특별시 서초구 잠원로4길 지하46(잠원동),127.011613,37.512989,956838.7792310376,1946079.3750825748
0339,고속터미널,I1103,3호선,환승역,서울특별시 서초구 신반포로 지하188(반포동),127.004916,37.504953,956242.2369752744,1945190.923160712
0340,교대(법원·검찰청),I1103,3호선,환승역,서울특별시 서초구 서초대로 지하294(서초동),127.013796,37.49306,957020.2803776376,1943867.3780540533
0341,남부터미널(예술의전당),I1103,3호선,일반역,서울특별시 서초구 서초중앙로 지하31(서초동),127.016289,37.48494,957236.0304741138,1942965.38169992
0342,양재(서초구청),I1103,3호선,환승역,서울특별시 서초구 남부순환로 지하2585(서초동),127.03423,37.48458,958821.9719042808,1942917.444072429
