기준년월,연도,월,키워드,언급량,월별순위
202501,2025,1,K-Culture 관련 거리,881,6
202501,2025,1,K-공연관람,39519,1
202501,2025,1,K-굿즈,128,8
202501,2025,1,K-댄스 배우기,4135,5
202501,2025,1,K-덕질,8211,2
202501,2025,1,K-드라마/영화 관련 대상지,6566,3
202501,2025,1,K-예능 대상지,101,9
202501,2025,1,K-팝업 스토어,85,10
202501,2025,1,엔터테인먼트 방문(HYBE_ SM_ JYP),5433,4
202501,2025,1,촬영지,520,7
202502,2025,2,K-Culture 관련 거리,366,7
202502,2025,2,K-공연관람,48133,1
202502,2025,2,K-굿즈,256,9
202502,2025,2,K-댄스 배우기,3898,4
202502,2025,2,K-덕질,6298,3
202502,2025,2,K-드라마/영화 관련 대상지,6478,2
202502,2025,2,K-예능 대상지,315,8
202502,2025,2,K-팝업 스토어,59,10
202502,2025,2,엔터테인먼트 방문(HYBE_ SM_ JYP),945,5
202502,2025,2,촬영지,613,6
202503,2025,3,K-Culture 관련 거리,579,6
202503,2025,3,K-공연관람,89328,1
202503,2025,3,K-굿즈,313,8
202503,2025,3,K-댄스 배우기,4129,4
202503,2025,3,K-덕질,10489,2
202503,2025,3,K-드라마/영화 관련 대상지,5610,3
202503,2025,3,K-예능 대상지,72,10
202503,2025,3,K-팝업 스토어,265,9
202503,2025,3,엔터테인먼트 방문(HYBE_ SM_ JYP),828,5
202503,2025,3,촬영지,563,7
202504,2025,4,K-Culture 관련 거리,1332,5
202504,2025,4,K-공연관람,71445,1
202504,2025,4,K-굿즈,137,9
202504,2025,4,K-댄스 배우기,2418,4
202504,2025,4,K-덕질,8669,2
202504,2025,4,K-드라마/영화 관련 대상지,8276,3
202504,2025,4,K-예능 대상지,96,10
202504,2025,4,K-팝업 스토어,225,8
202504,2025,4,엔터테인먼트 방문(HYBE_ SM_ JYP),1229,6
202504,2025,4,촬영지,618,7
202505,2025,5,K-Culture 관련 거리,709,6
202505,2025,5,K-공연관람,108400,1
202505,2025,5,K-굿즈,189,8
202505,2025,5,K-댄스 배우기,2475,5
202505,2025,5,K-덕질,11453,2
202505,2025,5,K-드라마/영화 관련 대상지,6714,3
202505,2025,5,K-예능 대상지,103,9
202505,2025,5,K-팝업 스토어,53,10
202505,2025,5,엔터테인먼트 방문(HYBE_ SM_ JYP),5390,4
202505,2025,5,촬영지,476,7
202506,2025,6,K-Culture 관련 거리,783,6
202506,2025,6,K-공연관람,114556,1
202506,2025,6,K-굿즈,183,10
202506,2025,6,K-댄스 배우기,2859,5
202506,2025,6,K-덕질,10580,2
202506,2025,6,K-드라마/영화 관련 대상지,5639,4
202506,2025,6,K-예능 대상지,193,9
202506,2025,6,K-팝업 스토어,223,8
202506,2025,6,엔터테인먼트 방문(HYBE_ SM_ JYP),5705,3
202506,2025,6,촬영지,422,7
202507,2025,7,K-Culture 관련 거리,671,6
202507,2025,7,K-공연관람,74666,1
202507,2025,7,K-굿즈,299,8
202507,2025,7,K-댄스 배우기,4032,4
202507,2025,7,K-덕질,9476,2
202507,2025,7,K-드라마/영화 관련 대상지,6192,3
